VARSIG7	requiredentri requir entri 
VARSIG6	finder 
VARSIG3	clioption cli option kei depth mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu depth attribut combin gener finder integ depth 
VARSIG2	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project control entiti finder gener javatyp type typenam type 
VARSIG5	requiredstr requir 
VARSIG4	clioption cli option kei filter mandatori comma separ list string filter includ filter 
COMMENTS	command finder add roo shell 
CLASSES	findercommand finder command 
VARSIG1	clioption cli option kei findernam finder mandatori finder gener finder list command javasymbolnam symbol findernam finder 
VARSIG0	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project control entiti finder gener javatyp type typenam type 
METHODS	installfind instal finder isfindercommandavail finder command listfind list finder 
MTHSIG0	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
MTHSIG1	isfindercommandavail finder command 
PACKAGE	springframework roo addon finder 
MTHSIG2	listfind list finder javatyp type typenam type integ depth filter 
VARIABLES	typenam type findernam finder typenam type depth filter requiredstr requir finder requiredentri requir entri finderoper finder oper finder requiredentri requir entri filtertoken filter token result 
