MTHSIG0	tostr 
VARSIG3	map option 
MTHSIG1	emb url viewnam view 
VARSIG2	viewnam view 
PACKAGE	springframework roo addon web mvc embed provid 
MTHSIG2	instal viewnam view map option 
COMMENTS	provid emb video stream url specif instal expect format http ustream flash live expect format http livestream wkrg oil spill 
CLASSES	videostreamembeddedprovid video stream embed provid 
VARIABLES	url viewnam view viewnam view option videostreamprovid video stream provid builder split option split option provid video 
VARSIG1	viewnam view 
VARSIG0	url 
METHODS	tostr emb instal 
