MTHSIG0	xmltemplat xml templat filemanag file manag filemanag file manag 
VARSIG3	resolvedpathidentifi resolv path identifi 
MTHSIG1	updat resolvedpathidentifi resolv path identifi domelementcallback dom element callback rootelementcallback root element callback 
VARSIG2	filemanag file manag filemanag file manag 
PACKAGE	springframework roo addon web flow 
VARSIG4	domelementcallback dom element callback rootelementcallback root element callback 
COMMENTS	make updat xml file reli link filemanag file manag link xmlutil xml util updat xml conveni callback mechan access link document root link element provid logic updat link document document document rootel root element root element document requir save wrap common code updat xml file caller provid callback focu actual detail resolvedpathidentifi resolv path identifi path xml file updat rootelementcallback root element callback callback logic appli 
CLASSES	xmltemplat xml templat 
VARIABLES	document rootel root element filemanag file manag resolvedpathidentifi resolv path identifi rootelementcallback root element callback filemanag file manag document root 
VARSIG1	element rootel root element 
VARSIG0	document document 
METHODS	xmltemplat xml templat updat 
