MTHSIG28	version 
MTHSIG26	uninstal bundlesymbolicnam bundl symbol bsn 
MTHSIG27	updat bundlesymbolicnam bundl symbol bsn url 
MTHSIG24	shell commandlin command 
MTHSIG25	start url 
MTHSIG22	scrinfo scr info integ 
MTHSIG23	scrlist scr list bundlesymbolicnam bundl symbol bsn 
MTHSIG4	instal url 
MTHSIG5	log integ maximumentri maximum entri loglevel log level loglevel log level 
MTHSIG6	log psoption option format 
MTHSIG7	obrdeploi obr deploi bundlesymbolicnam bundl symbol bsn 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo felix 
MTHSIG2	find bundlesymbolicnam bundl symbol bsn 
MTHSIG3	header bundlesymbolicnam bundl symbol bsn 
MTHSIG20	scrdisabl scr disabl integ 
MTHSIG21	screnabl scr enabl integ 
MTHSIG8	obrinfo obr info bundlesymbolicnam bundl symbol bsn 
MTHSIG9	obrlist obr list keyword 
CLASSES	felixdeleg felix deleg 
VARSIG28	clioption cli option kei url mandatori url updat bundl url 
METHODS	activ deactiv find header instal log log obrdeploi obr deploi obrinfo obr info obrlist obr list obrstart obr start obrurladd obr url add obrurllist obr url list obrurlrefresh obr url refresh obrurlremov obr url remov onshellstatuschang shell statu chang perform quit resolv scrconfig scr config scrdisabl scr disabl screnabl scr enabl scrinfo scr info scrlist scr list shell start uninstal updat version 
VARSIG23	clioption cli option kei bundleid bundl mandatori limit specif bundl bundlesymbolicnam bundl symbol bsn 
VARSIG22	clioption cli option kei componentid compon mandatori specif compon identifi osgi scr list list compon identifi integ 
VARSIG21	clioption cli option kei componentid compon mandatori specif compon identifi osgi scr list list compon identifi integ 
VARSIG20	clioption cli option kei componentid compon mandatori specif compon identifi osgi scr list list compon identifi integ 
VARSIG27	clioption cli option kei bundlesymbolicnam bundl symbol mandatori specif bundl updat bundlesymbolicnam bundl symbol bsn 
VARSIG26	clioption cli option kei bundlesymbolicnam bundl symbol mandatori specif bundl uninstal bundlesymbolicnam bundl symbol bsn 
VARSIG25	clioption cli option kei url mandatori url bundl url 
VARSIG24	clioption cli option kei mandatori specifieddefaultvalu unspecifieddefaultvalu unspecifi command pass felix warn valid secur check perform commandlin command 
VARSIG7	clioption cli option kei format mandatori specifieddefaultvalu bundl unspecifieddefaultvalu unspecifi bundl format bundl psoption option format 
VARSIG6	clioption cli option kei level mandatori minimum level messag displai loglevel log level loglevel log level 
VARSIG9	clioption cli option kei bundlesymbolicnam bundl symbol mandatori optioncontext option context obr specif bundl displai bundlesymbolicnam bundl symbol bsn 
VARSIG8	clioption cli option kei bundlesymbolicnam bundl symbol mandatori optioncontext option context obr specif bundl deploi bundlesymbolicnam bundl symbol bsn 
VARSIG3	clioption cli option kei bundlesymbolicnam bundl symbol mandatori limit specif bundl symbol bundlesymbolicnam bundl symbol bsn 
VARSIG2	clioption cli option kei bundlesymbolicnam bundl symbol mandatori bundl symbol find bundlesymbolicnam bundl symbol bsn 
VARSIG5	clioption cli option kei maximumentri maximum entri mandatori maximum number log messag displai integ maximumentri maximum entri 
VARSIG4	clioption cli option kei url mandatori url bundl url 
COMMENTS	deleg command felix felix shell api monitor roo shell determin wish shutdown shutdown request pass felix process roo 
VARSIG19	clioption cli option kei bundlesymbolicnam bundl symbol mandatori specif bundl resolv bundlesymbolicnam bundl symbol bsn 
VARSIG1	componentcontext compon context context 
VARSIG18	commandlin command 
VARSIG0	componentcontext compon context context 
VARSIG17	except 
VARSIG12	clioption cli option kei url mandatori url add http felix obr releas xml url 
VARSIG11	clioption cli option kei bundlesymbolicnam bundl symbol mandatori optioncontext option context obr specif bundl start bundlesymbolicnam bundl symbol bsn 
VARSIG10	clioption cli option kei keyword mandatori keyword locat keyword 
VARSIG16	shellstatu shell statu newstatu statu 
VARSIG15	shellstatu shell statu oldstatu statu 
VARSIG14	clioption cli option kei url mandatori url remov list exist url osgi obr url list url 
VARSIG13	clioption cli option kei url mandatori url refresh list exist url osgi obr url list url 
MTHSIG17	quit 
MTHSIG18	resolv bundlesymbolicnam bundl symbol bsn 
MTHSIG15	onshellstatuschang shell statu chang shellstatu shell statu oldstatu statu shellstatu shell statu newstatu statu 
MTHSIG16	perform commandlin command 
MTHSIG13	obrurlrefresh obr url refresh url 
MTHSIG14	obrurlremov obr url remov url 
MTHSIG11	obrurladd obr url add url 
MTHSIG12	obrurllist obr url list 
MTHSIG19	scrconfig scr config 
MTHSIG10	obrstart obr start bundlesymbolicnam bundl symbol bsn 
VARIABLES	context context bsn bsn url maximumentri maximum entri loglevel log level format bsn bsn keyword bsn url url url oldstatu statu newstatu statu commandlin command bsn bsn commandlin command url bsn bsn url context rooshel roo shell shellservic shell servic staticfieldconvert field convert sysout sy syserr sy err printstreamout print stream printerrout print err 
