VARSIG3	physicaltypeid physic type 
VARSIG2	metadataid metadata 
VARSIG5	metadataidentificationstr metadata identif 
VARSIG4	metadataid metadata 
COMMENTS	manipul function link physicaltypemetadata physic type metadata id level physic type metadata creat physic type metadata user project type exist link javatyp type exist don link logicalpath logic path link typelocationservic type locat servic getphysicaltypeidentifi physic type identifi javatyp type javatyp type type creat identifi requir path path locat requir blank pars metadata user project type relat physicaltypeid physic type metadata pars identifi instanc link physicaltypeidentifi physic type identifi physic metadata type type return level physic type metadata equival access link physic metadata type physic metadata type pars metadata path user project type relat metadataid metadata metadata pars identifi instanc link physicaltypeidentifi physic type identifi physic metadata type path metadata identifi physic type annot metadataidentificationstr metadata identif metadata check constructor prevent instanti 
CLASSES	physicaltypeidentifi physic type identifi 
VARSIG1	logicalpath logic path path 
VARSIG0	javatyp type javatyp type 
METHODS	createidentifi creat identifi getfriendlynam friendli getjavatyp type getmetadataidentifertyp metadata identif type getpath path isvalid valid physicaltypeidentifi physic type identifi 
MTHSIG4	getpath path metadataid metadata 
MTHSIG5	isvalid valid metadataidentificationstr metadata identif 
MTHSIG6	physicaltypeidentifi physic type identifi 
MTHSIG0	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
MTHSIG1	getfriendlynam friendli metadataid metadata 
PACKAGE	springframework roo classpath 
MTHSIG2	getjavatyp type physicaltypeid physic type 
MTHSIG3	getmetadataidentifertyp metadata identif type 
VARIABLES	javatyp type path metadataid metadata physicaltypeid physic type metadataid metadata metadataidentificationstr metadata identif physic metadata type physic metadata type 
