VARSIG7	databas databas 
VARSIG6	displayaddon displai add on 
VARSIG3	view 
VARSIG2	set schema schema 
VARSIG5	set excludet exclud tabl 
VARSIG4	set includet includ tabl 
COMMENTS	retriev databas metadata dbre xml file jdbc connect write databas metadata dbre xml file dbre xml file schema databas support schema mysql sql read databas metadata cach dbre xml file evictcach evict cach forc evict databas cach attempt retriev databas metadata pars unavail reason return set databas link schema schema displayaddon displai add on displai add on requir set schema retriev databas metadata jdbc connect schema schema queri requir view databas view retriev includet includ tabl set tabl name includ excludet exclud tabl set tabl name exlud databas metadata connect databas schema determin databas schema exampl databas schema mysql sql firebird displayaddon displai add on displai add on requir databas support schema runtimeexcept runtim except problem acquir connect serial databas dbre xml file databas databas written disk 
CLASSES	dbremodelservic dbre model servic 
VARSIG1	displayaddon displai add on 
VARSIG0	evictcach evict cach 
METHODS	getdatabas databas getschema schema refreshdatabas refresh databas supportsschema support schema writedatabas write databas 
MTHSIG4	writedatabas write databas databas databas 
MTHSIG0	getdatabas databas evictcach evict cach 
MTHSIG1	getschema schema displayaddon displai add on 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	refreshdatabas refresh databas set schema schema view set includet includ tabl set excludet exclud tabl 
MTHSIG3	supportsschema support schema displayaddon displai add on 
VARIABLES	evictcach evict cach displayaddon displai add on schema view includet includ tabl excludet exclud tabl displayaddon displai add on databas dbre xml schema requir 
