VARSIG7	nullrequir requir 
VARSIG6	notnul 
VARSIG9	 
VARSIG8	uniqu 
VARSIG3	list annotationmetadatabuild annot metadata builder annot 
VARSIG2	javasymbolnam symbol fieldnam field 
VARSIG5	comment 
VARSIG4	column 
COMMENTS	base common jsr jsr properti auto gener jpa column doc comment reserv expans field type field jsr notnul annot jsr annot type receiv field uniqu column annot spring constructor physicaltypeidentifi physic type identifi fieldtyp field type fieldnam field 
VARSIG1	javatyp type fieldtyp field type 
VARSIG0	physicaltypeidentifi physic type identifi 
MTHSIG4	getfieldnam field 
MTHSIG5	getfieldtyp field type 
MTHSIG6	getphysicaltypeidentifi physic type identifi 
MTHSIG7	getvalu 
MTHSIG0	fielddetail field detail physicaltypeidentifi physic type identifi javatyp type fieldtyp field type javasymbolnam symbol fieldnam field 
MTHSIG1	decorateannotationslist decor annot list list annotationmetadatabuild annot metadata builder annot 
PACKAGE	springframework roo classpath oper jsr jsr 
MTHSIG2	getcolumn column 
MTHSIG3	getcom comment 
MTHSIG8	isnotnul 
MTHSIG9	isnullrequir requir 
MTHSIG15	setuniqu set uniqu uniqu 
MTHSIG16	setvalu set 
MTHSIG13	setnotnul set notnul 
MTHSIG14	setnullrequir set requir nullrequir requir 
MTHSIG11	setcolumn set column column 
MTHSIG12	setcom set comment comment 
CLASSES	fielddetail field detail 
METHODS	fielddetail field detail decorateannotationslist decor annot list getcolumn column getcom comment getfieldnam field getfieldtyp field type getphysicaltypeidentifi physic type identifi getvalu isnotnul isnullrequir requir isuniqu uniqu setcolumn set column setcom set comment setnotnul set setnullrequir set requir setuniqu set uniqu setvalu set 
MTHSIG10	isuniqu uniqu 
VARIABLES	physicaltypeidentifi physic type identifi fieldtyp field type fieldnam field annot column comment notnul nullrequir requir uniqu column comment fieldnam field fieldtyp field type notnul nullrequir requir physicaltypeidentifi physic type identifi uniqu columnbuild column builder attr attr attr 
