VARSIG7	javatyp type 
VARSIG6	javasymbolnam symbol finder 
VARSIG8	runtimeexcept runtim except 
VARSIG3	javatyp type typenam type 
VARSIG2	object 
VARSIG5	fieldmetadata field metadata idfield field 
VARSIG4	integ depth 
COMMENTS	implement link finderoper finder oper entiti metadata type finder entiti entiti metadata file exist there entiti metadata exist rooentiti roo entiti annot confirm type valid finder destin list store attribut copi exist attribut exclud finder attribut ensur arrai string add desir finder let add finder attribut entiti metadata type finder entiti entiti metadata member detail comput finder exclud version field avoid displai problemat finder queri queri 
CLASSES	finderoperationsimpl finder oper impl 
VARSIG1	javasymbolnam symbol findernam finder 
VARSIG0	javatyp type typenam type 
METHODS	geterrormsg error msg installfind instal finder isfinderinstallationposs finder instal listfindersfor list finder 
MTHSIG0	geterrormsg error msg 
MTHSIG1	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
PACKAGE	springframework roo addon finder 
MTHSIG2	isfinderinstallationposs finder instal 
MTHSIG3	listfindersfor list finder javatyp type typenam type integ depth 
VARIABLES	typenam type findernam finder typenam type depth idfield field finder logger dynamicfinderservic dynam finder servic memberdetailsscann member detail scanner metadataservic metadata servic persistencememberloc persist member locat projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic javatyp type path entitymid entiti mid jpaactiverecordmetadata jpa activ record metadata cid annot jpaactiverecordannot jpa activ record annot memberdetail member detail attribut desiredfind desir finder alreadyad val arrayv arrai val cidbuild cid builder annot javatyp type path entitymid entiti mid jpaactiverecordmetadata jpa activ record metadata physicaltypemetadata physic type metadata cid memberdetail member detail idfield field versionfield version field exclus result finder queryhold queri holder parameternam paramet name parametertyp paramet type signatur 
