MTHSIG4	getmethodannot annot 
MTHSIG5	getregisteredimport regist import 
MTHSIG6	isprivilegedaspect privileg aspect 
MTHSIG0	getaspect aspect 
MTHSIG1	getfieldannot field annot 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getgovernor governor 
MTHSIG3	getinnertyp type 
COMMENTS	simplic implement complet represent member bytecod initialis class unsupport return type hold aspect note type receiv introduct determin link getnam aspect link javatyp type list field level annot includ annot declar field defin declar field destinationtyp destin type annot featur unmodifi represent field annot declar field empti return link classorinterfacetypedetail type detail repres governor governor link classorinterfacetypedetail type detail list type unmodifi represent type empti list level annot includ annot declar defin declar field destinationtyp destin type annot featur unmodifi represent annot declar empti explicitli regist import user wish defin empti 
CLASSES	itdtypedetail type detail 
VARIABLES	 
METHODS	getaspect aspect getfieldannot field annot getgovernor governor getinnertyp type getmethodannot annot getregisteredimport regist import isprivilegedaspect privileg aspect 
