VARSIG7	javatyp type paramet 
VARSIG6	annotationmetadata annot metadata parameterannot paramet annot 
VARSIG9	bodydeclar bodi declar 
VARSIG8	parseexcept pars except 
VARSIG3	set javasymbolnam symbol typeparamet type paramet 
VARSIG2	constructormetadata constructor metadata constructor 
VARSIG5	annotatedjavatyp annot type constructorparamet constructor paramet 
VARSIG4	annotationmetadata annot metadata annot 
COMMENTS	parser implement link constructormetadata constructor metadata todo pars type javapars parser sourc start basic constructor add constructor level annot paramet annot add constructor paramet includ individu annot type paramet add paramet annot applic paramet type comput paramet comput paramet type add type argument present type nameexpr expr importedparametertyp import paramet type javaparserutil parser util importtypeifrequir type requir compilationunitservic compil unit servic getenclosingtypenam enclos type compilationunitservic compil unit servic getimport import paramet typearg type add javaparserutil parser util getreferencetyp refer type importedparametertyp import paramet type creat parser constructor paramet add list paramet set bodi bodi fake constructor javapars parser pars easiest build simpl sourc requir pars locat add constructor verifi exist constructor current constructor match paramet type add constructor compil unit convert parser modifi jdk modifi add declar type paramet list type paramet bodi lookup paramet name 
VARSIG19	typeparamet type paramet candid 
VARSIG1	list bodydeclar bodi declar member 
VARSIG18	set javasymbolnam symbol typeparameternam type paramet name 
VARSIG0	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG17	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG12	constructordeclar constructor declar constructordeclar constructor declar 
VARSIG11	declaredbymetadataid declar metadata 
VARSIG10	annotatedjavatyp annot type existingparamet exist paramet 
MTHSIG0	addconstructor add constructor compilationunitservic compil unit servic compilationunitservic compil unit servic list bodydeclar bodi declar member constructormetadata constructor metadata constructor set javasymbolnam symbol typeparamet type paramet 
VARSIG16	constructordeclar constructor declar constructordeclar constructor declar 
MTHSIG1	getinst instanc declaredbymetadataid declar metadata constructordeclar constructor declar constructordeclar constructor declar compilationunitservic compil unit servic compilationunitservic compil unit servic set javasymbolnam symbol typeparameternam type paramet name 
VARSIG15	declaredbymetadataid declar metadata 
PACKAGE	springframework roo classpath javapars detail 
MTHSIG2	javaparserconstructormetadatabuild parser constructor metadata builder declaredbymetadataid declar metadata constructordeclar constructor declar constructordeclar constructor declar compilationunitservic compil unit servic compilationunitservic compil unit servic set javasymbolnam symbol typeparameternam type paramet name 
VARSIG14	set javasymbolnam symbol typeparameternam type paramet name 
MTHSIG3	build 
VARSIG13	compilationunitservic compil unit servic compilationunitservic compil unit servic 
CLASSES	javaparserconstructormetadatabuild parser constructor metadata builder 
METHODS	addconstructor add constructor getinst instanc javaparserconstructormetadatabuild parser constructor metadata builder build 
VARSIG22	annotationexpr annot expr annot 
VARSIG21	annotationexpr annot expr candid 
VARSIG20	paramet 
VARIABLES	compilationunitservic compil unit servic member constructor typeparamet type paramet annot constructorparamet constructor paramet parameterannot paramet annot paramet existingparamet exist paramet declaredbymetadataid declar metadata constructordeclar constructor declar compilationunitservic compil unit servic typeparameternam type paramet name declaredbymetadataid declar metadata constructordeclar constructor declar compilationunitservic compil unit servic typeparameternam type paramet name candid candid annot annot paramet parameterannot paramet annot parameternam paramet parametertyp paramet type importedtyp import type cit typearg type bai type bodydeclar bodi declar constructormetadata constructor metadata matchesfulli match fulli annot bodi declaredbymetadataid declar metadata modifi parameternam paramet name parametertyp paramet type throwstyp type fulltypeparamet full type paramet param currenttypeparam current type parametertyp paramet type annotationslist annot list annot constructorbuild constructor builder 
