MTHSIG0	add javatyp type target rootnam root deep 
VARSIG3	clioption cli option kei deepseri deep serial unspecifieddefaultvalu unspecifi specifieddefaultvalu mandatori indic deep serial enabl deep 
MTHSIG1	deep 
VARSIG2	clioption cli option kei deepseri deep serial unspecifieddefaultvalu unspecifi specifieddefaultvalu mandatori indic deep serial enabl deep 
PACKAGE	springframework roo addon json 
MTHSIG2	ispropertyavail properti 
COMMENTS	command addon json 
CLASSES	jsoncommand json command 
VARIABLES	target rootnam root deep deep jsonoper json oper 
VARSIG1	clioption cli option kei rootnam root mandatori root wrap json document rootnam root 
VARSIG0	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project type appli annot javatyp type target 
METHODS	add ispropertyavail properti 
