VARSIG3	identifi 
VARSIG2	identifi 
VARSIG5	identifi 
VARSIG4	sourceonli sourc 
COMMENTS	conveni superclass link pathresolvingstrategi path resolv strategi implement osgi compon method pathresolvingstrategi path resolv strategi method obtain link path requiresourc requir sourc path sourc code path match path 
CLASSES	abstractpathresolvingstrategi path resolv strategi 
VARSIG1	identifi 
VARSIG0	componentcontext compon context context 
METHODS	activ getapplicablephysicalpath applic physic path getfriendlynam friendli getpath path getpath path getpath path getrelativeseg rel segment getroot root getsourcepath sourc path 
MTHSIG4	getpath path 
MTHSIG5	getpath path sourceonli sourc 
MTHSIG6	getrelativeseg rel segment identifi 
MTHSIG7	getroot root 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	getapplicablephysicalpath applic physic path identifi 
PACKAGE	springframework roo project 
MTHSIG2	getfriendlynam friendli identifi 
MTHSIG3	getpath path identifi 
VARIABLES	context identifi identifi identifi sourceonli sourc identifi root modul rootpath root path projectdirectori project directori parent parent parentfil parent file 
MTHSIG8	getsourcepath sourc path 
