VARSIG6	element 
VARSIG3	actionconfig action config config 
VARSIG2	actionconfig action config config 
VARSIG5	actionconfig action config config 
VARSIG4	commandtransform command transform trafo 
COMMENTS	schedul origin input command execut purpos action possibl determin order execut origin command list command tailor 
CLASSES	executeself execut 
VARSIG1	actionconfig action config config 
VARSIG0	commandtransform command transform trafo 
METHODS	executeimpl execut impl getdescript descript isvalid valid removeargu remov argument 
MTHSIG0	executeimpl execut impl commandtransform command transform trafo actionconfig action config config 
MTHSIG1	getdescript descript actionconfig action config config 
PACKAGE	springframework roo addon tailor action 
MTHSIG2	isvalid valid actionconfig action config config 
MTHSIG3	removeargu remov argument commandtransform command transform trafo actionconfig action config config 
VARIABLES	trafo config config config trafo config element actionattr removearg processedcommand process command removeargumentsattribut remov argument attribut inputcommandstr input command removeargumentslist remov argument list argtoremov arg remov cmdargument cmd argument keyiter kei iter argnam arg 
