VARSIG6	deepseri deep serial 
VARSIG3	rootnam root 
VARSIG2	javatyp type javatyp type 
VARSIG5	rootnam root 
VARSIG4	javatyp type javatyp type 
COMMENTS	implement addon json oper 
CLASSES	jsonoperationsimpl json oper impl 
VARSIG1	javatyp type type 
VARSIG0	deepseri deep serial 
METHODS	annotateal annot annotateal annot annotatetyp annot type annotatetyp annot type isjsoninstallationposs json instal 
MTHSIG4	isjsoninstallationposs json instal 
MTHSIG0	annotateal annot 
MTHSIG1	annotateal annot deepseri deep serial 
PACKAGE	springframework roo addon json 
MTHSIG2	annotatetyp annot type javatyp type javatyp type rootnam root 
MTHSIG3	annotatetyp annot type javatyp type javatyp type rootnam root deepseri deep serial 
VARIABLES	deepseri deep serial type javatyp type rootnam root javatyp type rootnam root deepseri deep serial projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic cid annotationbuild annot builder cidbuild cid builder 
