MTHSIG4	issettersbydefault setter 
MTHSIG0	identifierannotationvalu identifi annot valu memberholdingtypedetailsmetadataitem member hold type detail metadata item governor 
MTHSIG1	isdbmanag manag 
PACKAGE	springframework roo addon jpa identifi 
MTHSIG2	isgettersbydefault getter 
MTHSIG3	isnoargconstructor arg constructor 
COMMENTS	valu link rooidentifi roo identifi annot constructor read link rooidentifi roo identifi annot governor governor governor governor metadata requir identifi manag dbre gener getter field gener argument constructor gener setter field 
CLASSES	identifierannotationvalu identifi annot valu 
VARIABLES	governor dbmanag manag gettersbydefault getter noargconstructor arg constructor settersbydefault setter 
VARSIG0	memberholdingtypedetailsmetadataitem member hold type detail metadata item governor 
METHODS	identifierannotationvalu identifi annot valu isdbmanag manag isgettersbydefault getter isnoargconstructor arg constructor issettersbydefault setter 
