VARSIG7	object 
VARSIG6	 
VARSIG3	 
VARSIG2	 
VARSIG5	 
VARSIG4	 
COMMENTS	return charact posit equival link charat handl overli larg indic read can read base charact whitespac charact check count number zero lead number compar skip lead space zero count consecut zero count consecut zero process digit string compar caller call strcmp tie longest digit win greatest win can scan number magnitud rememb bia 
CLASSES	naturalordercompar natur order compar 
VARSIG1	 
VARSIG0	 
METHODS	charat isspac space compar compareright compar stringifi 
MTHSIG4	stringifi object 
MTHSIG0	charat 
MTHSIG1	isspac space 
PACKAGE	springframework roo shell 
MTHSIG2	compar 
MTHSIG3	compareright compar 
VARIABLES	object nza nzb result bia 
