VARSIG7	metadataservic metadata servic metadataservic metadata servic 
VARSIG6	jpaactiverecordmetadataprovid jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid 
VARSIG3	javatyp type idtyp type 
VARSIG2	javatyp type targetent target entiti 
VARSIG5	javatyp type javatyp type 
VARSIG4	methodparamet paramet callerparamet caller paramet 
COMMENTS	link springframework roo classpath layer layerprovid layer provid link layertyp layer type activ record layer crud valu entiti entiti roojpaactiverecord roo jpa activ record annot check entiti plural form entiti layer type paramet entiti layer annot need gener call return plural form entiti javatyp type entiti plural requir can can acquir plural unit test jpaactiverecordmetadataprovid jpa activ record metadata provid unit test metadataservic metadata servic 
CLASSES	entitylayerprovid entiti layer provid 
VARSIG1	methodidentifi identifi 
VARSIG0	callermid caller mid 
METHODS	getlayerposit layer posit getmembertypeaddit member type addit getplur plural setjpaactiverecordmetadataprovid set jpa activ record metadata provid setmetadataservic set metadata servic 
MTHSIG4	setmetadataservic set metadata servic metadataservic metadata servic metadataservic metadata servic 
MTHSIG0	getlayerposit layer posit 
MTHSIG1	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type methodparamet paramet callerparamet caller paramet 
PACKAGE	springframework roo addon jpa activerecord 
MTHSIG2	getplur plural javatyp type javatyp type 
MTHSIG3	setjpaactiverecordmetadataprovid set jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid jpaactiverecordmetadataprovid jpa activ record metadata provid 
VARIABLES	callermid caller mid methodidentifi identifi targetent target entiti idtyp type callerparamet caller paramet javatyp type jpaactiverecordmetadataprovid jpa activ record metadata provid metadataservic metadata servic jpaactiverecordmetadataprovid jpa activ record metadata provid metadataservic metadata servic typelocationservic type locat servic annotationvalu annot valu plural parametertyp paramet type methodnam callerparameterlist caller paramet list methodcal call additionsbuild addit builder kei pluralmetadata plural metadata 
