VARSIG3	pom modul 
VARSIG2	canonicalpath canon path 
COMMENTS	link pom method project code link projectoper project oper return link projectdescriptor project descriptor focuss modul modul focu root link projectdescriptor project descriptor pom exist return focuss modul empti modul focu fileidentifi file identifi canon path lookup modul repres modul pass file belong return name modul project collect return link projectdescriptor project descriptor modul modulenam modul modul blank there modul return link projectdescriptor project descriptor canon path canonicalpath canon path canon path descriptor file file return link projectdescriptor project descriptor copi collect return link projectdescriptor project descriptor project project root descriptor file there pom focus modul modul modul focu requir 
CLASSES	pommanagementservic pom manag servic 
VARSIG1	modulenam modul 
VARSIG0	fileidentifi file identifi 
METHODS	getfocusedmodul focus modul getfocusedmodulenam focus modul getmoduleforfileidentifi modul file identifi getmodulenam modul name getpomfrommodulenam pom modul getpomfrompath pom path getpom pom getrootpom root pom setfocusedmodul set focus modul 
MTHSIG4	getpomfrommodulenam pom modul modulenam modul 
MTHSIG5	getpomfrompath pom path canonicalpath canon path 
MTHSIG6	getpom pom 
MTHSIG7	getrootpom root pom 
MTHSIG0	getfocusedmodul focus modul 
MTHSIG1	getfocusedmodulenam focus modul 
PACKAGE	springframework roo project 
MTHSIG2	getmoduleforfileidentifi modul file identifi fileidentifi file identifi 
MTHSIG3	getmodulenam modul name 
VARIABLES	fileidentifi file identifi modulenam modul canonicalpath canon path modul 
MTHSIG8	setfocusedmodul set focus modul pom modul 
