VARSIG3	bundlesymbolicname bundle symbolic bsn
VARSIG2	addonbundlesymbolicname add bundle symbolic bsn
VARSIG4	refresh
COMMENTS	operations offered addon display link addonbundlesymbolicname add bundle symbolic piped standard jdk link logger info bundle symbolic required list registered addons presently roo shell piped standard jdk link logger info refresh attempt fresh download roobot xml optional retrieve set addon bundle symbolic names set addon bundle symbolic names empty install addon link addonbundlesymbolicname add bundle symbolic bsn bundle symbolic required remove addon link bundlesymbolicname bundle symbolic bsn bundle symbolic required list cached addon bundles refresh refresh attempt fresh download roobot xml optional set addon bundles
CLASSES	addonroobotoperations add roo bot operations
VARSIG1	refresh
VARSIG0	addonbundlesymbolicname add bundle symbolic bsn
METHODS	addoninfo add info listaddons list add ons getaddonbsnset add bsn set installaddon install add removeaddon remove add getaddoncache add cache
MTHSIG4	removeaddon remove add bundlesymbolicname bundle symbolic bsn
MTHSIG5	getaddoncache add cache refresh
MTHSIG0	addoninfo add info addonbundlesymbolicname add bundle symbolic bsn
MTHSIG1	listaddons list add ons refresh
PACKAGE	springframework roo addon roobot client
MTHSIG2	getaddonbsnset add bsn set
MTHSIG3	installaddon install add addonbundlesymbolicname add bundle symbolic bsn
VARIABLES	bsn refresh bsn bsn refresh
