MTHSIG26	getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
MTHSIG24	createpropertyelement create property element document doc
MTHSIG25	createrefelement create element document doc
MTHSIG22	getdbxpath path jdbcdatabase jdbc database database
MTHSIG23	getproviderxpath provider path ormprovider orm provider provider
MTHSIG4	getdatabasepropertiespath database properties path
VARSIG78	jdbcdatabase jdbc database database
MTHSIG5	configurejpa configure jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database jndi applicationid application hostname host databasename database username user password persistenceunit persistence unit
VARSIG77	ormprovider orm provider ormprovider orm provider
MTHSIG6	updateapplicationcontext update application context ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database jndi persistenceunit persistence unit
VARSIG76	element configuration
MTHSIG7	updatepersistencexml update persistence xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database databasename database username user password persistenceunit persistence unit
VARSIG75	element resourceelement resource element
MTHSIG0	isjpainstallationpossible jpa installation
MTHSIG1	isjpainstalled jpa installed
MTHSIG2	hasdatabaseproperties database properties
MTHSIG3	getdatabaseproperties database properties
VARSIG79	element pluginelement plugin element
MTHSIG20	updateeclipseplugin update plugin addbuildcommand add build command
VARSIG70	element filterelement filter element
MTHSIG21	cleanup element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG8	updategaexml update gae xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database applicationid application
VARSIG74	element resourceelement resource element
MTHSIG9	updatedatabaseproperties update database properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database hostname host databasename database username user password
VARSIG73	jdbcdatabase jdbc database database
VARSIG72	ormprovider orm provider ormprovider orm provider
VARSIG71	element configuration
METHODS	isjpainstallationpossible jpa installation isjpainstalled jpa installed hasdatabaseproperties database properties getdatabaseproperties database properties getdatabasepropertiespath database properties path configurejpa configure jpa updateapplicationcontext update application context updatepersistencexml update persistence xml updategaexml update gae xml updatedatabaseproperties update database properties updatevmforceconfigproperties update mforce config properties updatelog update log updatepomproperties update pom properties updatedependencies update dependencies getprojectname project updaterepositories update repositories updatepluginrepositories update plugin repositories updatefilters update filters updateresources update resources updatebuildplugins update build plugins updateeclipseplugin update plugin cleanup getdbxpath path getproviderxpath provider path createpropertyelement create property element createrefelement create element getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
VARSIG67	ormprovider orm provider ormprovider orm provider
VARSIG66	element configuration
VARSIG65	element pluginrepositoryelement plugin repository element
VARSIG64	element pluginrepositoryelement plugin repository element
VARSIG69	element filterelement filter element
VARSIG68	jdbcdatabase jdbc database database
VARSIG63	jdbcdatabase jdbc database database
VARSIG62	ormprovider orm provider ormprovider orm provider
VARSIG61	element configuration
VARSIG60	element repositoryelement repository element
COMMENTS	jpa configuration operations parse configuration xml file remove unnecessary artifacts specific current database jpa provider checking existence configurations abort set attributes datanuclueus data nuclueus gae specific requirements add provider element add properties roo roo roo oracle connection url roo hard coded jpa hibernate validator list element pomproperties pom properties xmlutils xml utils findelements find elements getproviderxpath provider path provider properties configuration element propertyelement property element pomproperties pom properties projectoperations project operations removeproperty remove property property propertyelement property element
VARSIG19	persistenceunit persistence unit
VARSIG18	password
VARSIG17	username user
VARSIG12	persistenceunit persistence unit
VARSIG11	jndi
VARSIG99	
VARSIG10	jdbcdatabase jdbc database database
VARSIG98	document doc
VARSIG97	
VARSIG16	databasename database
VARSIG15	jdbcdatabase jdbc database database
VARSIG14	ormprovider orm provider ormprovider orm provider
VARSIG13	exception
VARSIG92	element filterelement filter element
VARSIG91	element dependencyelement dependency element
VARSIG90	ormprovider orm provider provider
VARSIG96	
VARSIG95	ormprovider orm provider provider
VARSIG94	jdbcdatabase jdbc database database
VARSIG93	element pluginelement plugin element
MTHSIG17	updatefilters update filters element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG18	updateresources update resources element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG15	updaterepositories update repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG16	updatepluginrepositories update plugin repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG13	updatedependencies update dependencies element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG14	getprojectname project
MTHSIG11	updatelog update log ormprovider orm provider ormprovider orm provider
MTHSIG12	updatepomproperties update pom properties element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
MTHSIG19	updatebuildplugins update build plugins element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database database
VARSIG89	element pluginelement plugin element
VARSIG88	element filterelement filter element
VARSIG87	element dependencyelement dependency element
VARSIG86	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG81	addbuildcommand add build command
