VARSIG7	methodmetadata metadata accessor
VARSIG6	methodmetadata metadata
VARSIG9	javatype type javatype type
VARSIG8	fieldname field
VARSIG3	list memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	memberholdingtypedetails member holding type details holder
VARSIG4	sortbyaccessorname sort accessor
COMMENTS	metadata link rootostring roo annotation process values annotation generate tostring create representation desired output treemap tree map methods output alphabetic order key based methodmetadata metadata parameter obtains tostring type user tostring returned tostring declared type introduced undeclared introduced compute relevant tostring type declared decide produce tostring key field accessor field names
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	getmetadataidentifertype metadata identifer type
VARSIG12	metadataidentificationstring metadata identification
MTHSIG5	createidentifier create identifier javatype type javatype type path path
VARSIG11	metadataidentificationstring metadata identification
MTHSIG6	getjavatype type metadataidentificationstring metadata identification
VARSIG10	path path
MTHSIG7	getpath path metadataidentificationstring metadata identification
MTHSIG0	tostringmetadata metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata list memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG1	getpublicaccessors accessors sortbyaccessorname sort accessor
PACKAGE	springframework roo addon tostring
MTHSIG2	gettostringmethod
MTHSIG3	tostring
VARSIG13	metadataidentificationstring metadata identification
MTHSIG8	isvalid valid metadataidentificationstring metadata identification
CLASSES	tostringmetadata metadata
METHODS	tostringmetadata metadata getpublicaccessors accessors gettostringmethod tostring getmetadataidentifertype metadata identifer type createidentifier create identifier getjavatype type getpath path isvalid valid
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata memberholdingtypedetails member holding type details sortbyaccessorname sort accessor holder accessor fieldname field javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification type type memberholdingtypedetails member holding type details tostringmethod excludefields exclude fields annotation tostringmethod map sortedbydetectionorder sorted detection order accessorname accessor methodname result bodybuilder body builder map order excludefieldsset exclude fields set accessorname accessor fieldname field accessortext accessor text size accessortext accessor text methodbuilder builder tsc
