VARSIG7	token token
VARSIG6	beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG9	plural
VARSIG8	javasymbolname symbol findername finder
VARSIG3	methodmetadata metadata accessor
VARSIG2	maxdepth max depth
VARSIG5	plural
VARSIG4	javasymbolname symbol findername finder
COMMENTS	implementation link dynamicfinderservices dynamic finder services ignoring util map field types roo interested fields declared physical types fields declared itds remove field token replace min max
VARSIG19	reservedtoken reserved token keyword key word
VARSIG1	plural
VARSIG18	reservedtoken reserved token keyword key word
VARSIG0	beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG17	isfirst
MTHSIG4	createfinders create finders fieldmetadata field metadata field set javasymbolname symbol finders prepend isfirst
VARSIG12	plural
MTHSIG5	populatefinders populate finders set javasymbolname symbol finders fieldmetadata field metadata field prepend isfirst keyword key word
VARSIG11	javasymbolname symbol findername finder
MTHSIG6	isnumberordate number fullyqualifiedtypename fully qualified type
VARSIG10	beaninfometadata bean info metadata beaninfometadata bean info metadata
MTHSIG0	getfindersfor finders beaninfometadata bean info metadata beaninfometadata bean info metadata plural maxdepth max depth
VARSIG16	prepend
MTHSIG1	getjpaqueryfor jpa query javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG15	set javasymbolname symbol finders
PACKAGE	springframework roo addon finder
MTHSIG2	getparameternames parameter names javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG14	fieldmetadata field metadata field
MTHSIG3	getparametertypes parameter types javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG13	beaninfometadata bean info metadata beaninfometadata bean info metadata
CLASSES	dynamicfinderservicesimpl dynamic finder services impl
METHODS	getfindersfor finders getjpaqueryfor jpa query getparameternames parameter names getparametertypes parameter types createfinders create finders populatefinders populate finders isnumberordate number
VARSIG23	prepend
VARSIG22	fieldmetadata field metadata field
VARSIG21	set javasymbolname symbol finders
VARSIG20	reservedtoken reserved token keyword key word
VARSIG27	fullyqualifiedtypename fully qualified type
VARSIG26	javasymbolname symbol finder
VARSIG25	keyword key word
VARSIG24	isfirst
VARIABLES	beaninfometadata bean info metadata plural maxdepth max depth accessor findername finder plural beaninfometadata bean info metadata token findername finder plural beaninfometadata bean info metadata findername finder plural beaninfometadata bean info metadata field finders prepend isfirst keyword key word keyword key word keyword key word finders field prepend isfirst keyword key word finder fullyqualifiedtypename fully qualified type finders tempfinders temp finders propertyname property field tablename builder tokenizer tokens lastfieldtoken field token isnewfield field isfieldapplied field applied reservedtoken reserved token fieldname field setfield set field names tokenizer tokens token fieldname field field fieldname field field types tokenizer tokens token field field tempfinders temp finders tempfinders temp finders
