VARSIG7	javatype type javatype type
VARSIG6	metadataidentificationstring metadata identification
VARSIG8	path path
VARSIG3	javatype type aspectname aspect
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	itdfilename filename
VARSIG4	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
COMMENTS	link dataondemandmetadata data demand metadata dod classes configurable dod classes provide relationships governor type details safely parse annotation expect lookup entity entity metadata lookup metadata depend abort couldn find dependent metadata informed dependent metadata monitor parent type parent trickle governing type
CLASSES	dataondemandmetadataprovider data demand metadata provider
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
METHODS	activate deactivate getmetadata metadata getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
MTHSIG4	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
MTHSIG5	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG6	getprovidestype type
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon dod
MTHSIG2	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
MTHSIG3	getitduniquenessfilenamesuffix uniqueness filename suffix
VARIABLES	context context metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename metadataidentificationstring metadata identification javatype type path configurablemetadataprovider configurable metadata provider annotationvalues annotation values javatype type path beaninfometadatakey bean info metadata key entitymetadatakey entity metadata key beaninfometadata bean info metadata entitymetadata entity metadata findentriesmethod find entries persistmethod persist flushmethod flush findmethod find identifieraccessor identifier accessor javatype type path physicaltypeidentifier physical type identifier
