VARSIG7	path path
VARSIG6	javatype type javatype type
VARSIG3	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG2	javatype type aspectname aspect
VARSIG5	metadataidentificationstring metadata identification
VARSIG4	itdfilename filename
COMMENTS	link solrwebsearchmetadata solr web search metadata acquire bean info getters details parse annotation expect notified getter info abort don getter create metadata
CLASSES	solrwebsearchmetadataprovider solr web search metadata provider
VARSIG1	metadataidentificationstring metadata identification
VARSIG0	componentcontext component context context
METHODS	activate getmetadata metadata getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
MTHSIG4	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG5	getprovidestype type
MTHSIG0	activate componentcontext component context context
MTHSIG1	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
PACKAGE	springframework roo addon solr
MTHSIG2	getitduniquenessfilenamesuffix uniqueness filename suffix
MTHSIG3	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
VARIABLES	context metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename metadataidentificationstring metadata identification javatype type path webscaffoldmetadataprovider web scaffold metadata provider javatype type path webscaffoldmetadatakey web scaffold metadata key annotationvalues annotation values webscaffoldmetadata web scaffold metadata javatype type path physicaltypeidentifier physical type identifier
