VARSIG6	annotatedjavatype annotated type annotatedjavatype annotated type
VARSIG3	list javatype type javatypes types
VARSIG2	annotationmetadata annotation metadata annotation
VARSIG5	list annotatedjavatype annotated type annotatedjavatypes annotated types
VARSIG4	javatype type javatype type
COMMENTS	represents link javatype type annotations constructs link annotatedjavatype annotated type javatype type type required annotations annotations type acceptable type returns annotations returns empty list converts link list link javatype type link list equivalent link annotatedjavatype annotated type note returned link annotatedjavatype annotated type annotation metadata input link javatype type store metadata javatypes types convert required equivalent link annotatedjavatype annotated type returns converts link list link annotatedjavatype annotated type link list equivalent link javatype type note annotation metadata discarded stored link javatype type annotatedjavatypes annotated types convert required equivalent link annotatedjavatype annotated type actual annotations returns
CLASSES	annotatedjavatype annotated type
VARSIG1	list annotationmetadata annotation metadata annotations
VARSIG0	javatype type javatype type
METHODS	annotatedjavatype annotated type getjavatype type getannotations annotations tostring convertfromjavatypes convert types convertfromannotatedjavatypes convert annotated types
MTHSIG4	convertfromjavatypes convert types list javatype type javatypes types
MTHSIG5	convertfromannotatedjavatypes convert annotated types list annotatedjavatype annotated type annotatedjavatypes annotated types
MTHSIG0	annotatedjavatype annotated type javatype type javatype type list annotationmetadata annotation metadata annotations
MTHSIG1	getjavatype type
PACKAGE	springframework roo classpath details annotations
MTHSIG2	getannotations annotations
MTHSIG3	tostring
VARIABLES	javatype type annotations annotation javatypes types javatype type annotatedjavatypes annotated types annotatedjavatype annotated type javatype type annotations result result
