VARSIG3	message
VARSIG2	level level
VARSIG4	slot
COMMENTS	easy subclasses publish flash messages link shell creating dependency link shell enables subclasses safely determine link shell development mode subclasses normal link shell flash level link flash level declare direct dependency link shell link shell simply publish flash messages link shell flash messages link shell convenience subclasses unique slot flash messages delegates link shell isdevelopmentmode development mode link shell simply returns shell development mode signature link shell flash level called link shell simply discard flash message level link shell flash level message link shell flash level slot link shell flash level
CLASSES	abstractflashingobject flashing object
VARSIG1	shell shell
VARSIG0	shell shell
METHODS	bindshell bind shell unbindshell unbind shell isdevelopmentmode development mode flash
MTHSIG0	bindshell bind shell shell shell
MTHSIG1	unbindshell unbind shell shell shell
PACKAGE	springframework roo shell osgi
MTHSIG2	isdevelopmentmode development mode
MTHSIG3	flash level level message slot
VARIABLES	shell shell level message slot slot mutex shell
