VARSIG3	javapackage toplevelpackage top level
VARSIG2	fullyqualifiedname fully qualified
COMMENTS	records type
CLASSES	lastusedimpl impl
VARSIG1	javatype type javatype type
VARSIG0	javapackage javapackage
METHODS	setpackage set settype set type shorten gettoplevelpackage top level settoplevelpackage set top level getjavatype type getjavapackage
MTHSIG4	settoplevelpackage set top level javapackage toplevelpackage top level
MTHSIG5	getjavatype type
MTHSIG6	getjavapackage
MTHSIG0	setpackage set javapackage javapackage
MTHSIG1	settype set type javatype type javatype type
PACKAGE	springframework roo classpath converters
MTHSIG2	shorten fullyqualifiedname fully qualified
MTHSIG3	gettoplevelpackage top level
VARIABLES	javapackage javatype type fullyqualifiedname fully qualified toplevelpackage top level javapackage javatype type shell toplevelpackage top level
