VARSIG7	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG6	annotationmetadatabuilder annotation metadata builder builder
VARSIG3	annotationmetadata annotation metadata annotationmetadata annotation metadata
VARSIG2	annotationmetadata annotation metadata element
VARSIG5	annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata
VARSIG4	annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata
COMMENTS	assists creation link builder types eventually implement link identifiableannotatedjavastructure identifiable annotated structure
CLASSES	abstractidentifiableannotatedjavastructurebuilder identifiable annotated structure builder
VARSIG1	identifiableannotatedjavastructure identifiable annotated structure existing
VARSIG0	declaredbymetadataid declaredby metadata
METHODS	abstractidentifiableannotatedjavastructurebuilder identifiable annotated structure builder abstractidentifiableannotatedjavastructurebuilder identifiable annotated structure builder addannotation add annotation addannotation add annotation onaddannotation add annotation getannotations annotations buildannotations build annotations setannotations set annotations
MTHSIG4	onaddannotation add annotation annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata
MTHSIG5	getannotations annotations
MTHSIG6	buildannotations build annotations
MTHSIG7	setannotations set annotations list annotationmetadatabuilder annotation metadata builder annotations
MTHSIG0	abstractidentifiableannotatedjavastructurebuilder identifiable annotated structure builder declaredbymetadataid declaredby metadata
MTHSIG1	abstractidentifiableannotatedjavastructurebuilder identifiable annotated structure builder identifiableannotatedjavastructure identifiable annotated structure existing
PACKAGE	springframework roo classpath details
MTHSIG2	addannotation add annotation annotationmetadata annotation metadata annotationmetadata annotation metadata
MTHSIG3	addannotation add annotation annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata
VARIABLES	declaredbymetadataid declaredby metadata existing element annotationmetadata annotation metadata annotationmetadata annotation metadata annotationmetadata annotation metadata builder annotations annotations result
