MTHSIG0	memberholdingtypedetailscustomdatakey member holding type details custom data key
MTHSIG1	tostring
PACKAGE	springframework roo classpath customdata tagkeys
MTHSIG2	meets memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG3	
COMMENTS	link memberholdingtypedetails member holding type details specific implementation link springframework roo model customdatakey custom data key
CLASSES	memberholdingtypedetailscustomdatakey member holding type details custom data key
VARIABLES	memberholdingtypedetails member holding type details
VARSIG1	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG0	
METHODS	memberholdingtypedetailscustomdatakey member holding type details custom data key tostring meets
