MTHSIG4	getmethodannotations annotations
MTHSIG5	getinnertypes types
MTHSIG6	getgovernor governor
MTHSIG0	isprivilegedaspect privileged aspect
MTHSIG1	getaspect aspect
PACKAGE	springframework roo classpath details
MTHSIG2	getregisteredimports registered imports
MTHSIG3	getfieldannotations field annotations
COMMENTS	simplicity implementation complete representation members bytecode initialisers classes unsupported returns type holds aspect note type receiving introductions determined link getname aspect link javatype type explicitly registered imports user wishes defined empty lists field level annotations includes annotations declared field defined declare field destinationtype destination type annotation feature unmodifiable representation field annotations declared field empty lists level annotations includes annotations declared defined declare field destinationtype destination type annotation feature unmodifiable representation annotations declared empty lists types unmodifiable representation types empty returns link classorinterfacetypedetails type details representing governor governor link classorinterfacetypedetails type details
CLASSES	itdtypedetails type details
VARIABLES	
METHODS	isprivilegedaspect privileged aspect getaspect aspect getregisteredimports registered imports getfieldannotations field annotations getmethodannotations annotations getinnertypes types getgovernor governor
