VARSIG3	indexcolumn column indexcolumn column
VARSIG2	unique
VARSIG4	object obj
COMMENTS	represents definition table unique unique
CLASSES	
VARSIG1	
VARSIG0	
METHODS	getname setname set isunique unique setunique set unique getcolumns columns addcolumn add column hashcode hash code equals tostring
MTHSIG4	setunique set unique unique
MTHSIG5	getcolumns columns
MTHSIG6	addcolumn add column indexcolumn column indexcolumn column
MTHSIG7	hashcode hash code
MTHSIG0	
MTHSIG1	getname
PACKAGE	springframework roo addon dbre model
MTHSIG2	setname set
MTHSIG3	isunique unique
VARIABLES	unique indexcolumn column obj serialversionuid serial version uid unique columns prime result
MTHSIG8	equals object obj
MTHSIG9	tostring
