VARSIG7	xpathexpression path expression
VARSIG6	jsfimplementation jsf implementation implementation
VARSIG9	element dependencyelement dependency element
VARSIG8	element configuration
VARSIG3	jsfimplementation jsf implementation jsfimplementation jsf implementation
VARSIG2	exception
VARSIG5	jsfimplementation jsf implementation jsfimplementation jsf implementation
VARSIG4	element configuration
COMMENTS	implementation link jsfoperations jsf operations create jsf managed bean entity remove unnecessary artifacts specific current jsf implementation update pom xml jsf primefaces dependencies repositories check entity metadata jsf metadata listening jsf managed bean entity listening managed bean add type exists create type annotation managed bean
VARSIG19	classorinterfacetypedetails type details cid
VARSIG1	javapackage destinationpackage destination
VARSIG18	javapackage destinationpackage destination
VARSIG0	jsfimplementation jsf implementation jsfimplementation jsf implementation
VARSIG17	element repositoryelement repository element
MTHSIG4	haswebxml web xml
VARSIG12	element dependencyelement dependency element
MTHSIG5	getwebxmlfile web xml file
VARSIG11	jsfimplementation jsf implementation jsfimplementation jsf implementation
MTHSIG6	copywebxml copy web xml
VARSIG10	element configuration
MTHSIG7	updateconfiguration update configuration jsfimplementation jsf implementation jsfimplementation jsf implementation
MTHSIG0	issetupavailable setup
VARSIG16	element repositoryelement repository element
MTHSIG1	isscaffoldavailable scaffold
VARSIG15	jsfimplementation jsf implementation jsfimplementation jsf implementation
PACKAGE	springframework roo addon jsf
MTHSIG2	setup jsfimplementation jsf implementation jsfimplementation jsf implementation
VARSIG14	element configuration
MTHSIG3	generateall generate javapackage destinationpackage destination
VARSIG13	element dependencyelement dependency element
MTHSIG8	cleanup element configuration jsfimplementation jsf implementation jsfimplementation jsf implementation
MTHSIG9	getdependencies dependencies xpathexpression path expression element configuration
MTHSIG15	getimplementationxpath implementation path jsfimplementation jsf implementation jsfimplementation jsf implementation
MTHSIG13	createmanagedbean create managed bean javatype type managedbean managed bean javatype type entity
MTHSIG14	getimplementationxpath implementation path list jsfimplementation jsf implementation jsfimplementations jsf implementations
MTHSIG11	updaterepositories update repositories element configuration jsfimplementation jsf implementation jsfimplementation jsf implementation
MTHSIG12	generatemanagedbeans generate managed beans javapackage destinationpackage destination
CLASSES	jsfoperationsimpl jsf operations impl
METHODS	issetupavailable setup isscaffoldavailable scaffold setup generateall generate haswebxml web xml getwebxmlfile web xml file copywebxml copy web xml updateconfiguration update configuration cleanup getdependencies dependencies updatedependencies update dependencies updaterepositories update repositories generatemanagedbeans generate managed beans createmanagedbean create managed bean getimplementationxpath implementation path getimplementationxpath implementation path
VARSIG23	jsfimplementation jsf implementation jsfimplementation jsf implementation
VARSIG22	list jsfimplementation jsf implementation jsfimplementations jsf implementations
VARSIG21	javatype type entity
VARSIG20	javatype type managedbean managed bean
MTHSIG10	updatedependencies update dependencies element configuration jsfimplementation jsf implementation jsfimplementation jsf implementation
VARIABLES	jsfimplementation jsf implementation destinationpackage destination jsfimplementation jsf implementation configuration jsfimplementation jsf implementation implementation xpathexpression path expression configuration dependencyelement dependency element configuration jsfimplementation jsf implementation dependencyelement dependency element dependencyelement dependency element configuration jsfimplementation jsf implementation repositoryelement repository element repositoryelement repository element destinationpackage destination cid managedbean managed bean entity jsfimplementations jsf implementations jsfimplementation jsf implementation primefaces xpath filemanager file manager dependencyregistry dependency registry metadataservice metadata service projectoperations project operations typelocationservice type location service typemanagementservice type management service shell document templateinputstream template input stream projectname project configuration jsfimplementations jsf implementations implementationxpath implementation path dependencies dependencies jsfimplementationdependencies jsf implementation dependencies jsflibrarydependencies jsf library dependencies repositories jsfrepositories jsf repositories jsflibraryrepositories jsf library repositories cids entity path entitymetadata entity metadata downstreamjsfmetadataid downstream jsf metadata managedbean managed bean attributes declaredbymetadataid declared metadata typedetailsbuilder type details builder builder
