VARSIG7	identifierfield identifier field
VARSIG6	javatype type identifiertype identifier type
VARSIG8	identifiercolumn identifier column
VARSIG3	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG2	javatype type superclass
VARSIG5	serializable
VARSIG4	javatype type
COMMENTS	implementation link entityoperations entity operations
CLASSES	entityoperationsimpl entity operations impl
VARSIG1	createabstract create
VARSIG0	javatype type
METHODS	ispersistentclassavailable persistent newentity entity newembeddableclass embeddable newidentifier identifier
MTHSIG0	ispersistentclassavailable persistent
MTHSIG1	newentity entity javatype type createabstract create javatype type superclass list annotationmetadatabuilder annotation metadata builder annotations
PACKAGE	springframework roo addon entity
MTHSIG2	newembeddableclass embeddable javatype type serializable
MTHSIG3	newidentifier identifier javatype type identifiertype identifier type identifierfield identifier field identifiercolumn identifier column
VARIABLES	createabstract create superclass annotations serializable identifiertype identifier type identifierfield identifier field identifiercolumn identifier column filemanager file manager projectoperations project operations typelocationservice type location service typemanagementservice type management service declaredbymetadataid declared metadata modifier typedetailsbuilder type details builder superclassclassorinterfacetypedetails superclass type details extendstypes types declaredbymetadataid declared metadata annotations modifier typedetailsbuilder type details builder declaredbymetadataid declared metadata identifierannotations identifier annotations typedetailsbuilder type details builder
