MTHSIG22	getinheritancetype inheritance type
MTHSIG23	getentityname entity
COMMENTS	represents parsed link rooentity roo entity annotation annotation
VARSIG0	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG4	getversiontype version type
MTHSIG5	getversionfield version field
MTHSIG6	getversioncolumn version column
MTHSIG7	getpersistmethod persist
MTHSIG0	entityannotationvalues entity annotation values physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG1	getidentifiertype identifier type
PACKAGE	springframework roo addon entity
MTHSIG2	getidentifierfield identifier field
MTHSIG3	getidentifiercolumn identifier column
MTHSIG20	getschema schema
MTHSIG21	getcatalog catalog
MTHSIG8	getflushmethod flush
MTHSIG9	getclearmethod clear
MTHSIG17	getpersistenceunit persistence unit
MTHSIG18	ismappedsuperclass mapped superclass
MTHSIG15	getfindentriesmethod find entries
MTHSIG16	getfinders finders
MTHSIG13	getfindallmethod find
MTHSIG14	getfindmethod find
MTHSIG11	getremovemethod remove
MTHSIG12	getcountmethod count
CLASSES	entityannotationvalues entity annotation values
METHODS	entityannotationvalues entity annotation values getidentifiertype identifier type getidentifierfield identifier field getidentifiercolumn identifier column getversiontype version type getversionfield version field getversioncolumn version column getpersistmethod persist getflushmethod flush getclearmethod clear getmergemethod merge getremovemethod remove getcountmethod count getfindallmethod find getfindmethod find getfindentriesmethod find entries getfinders finders getpersistenceunit persistence unit ismappedsuperclass mapped superclass gettable table getschema schema getcatalog catalog getinheritancetype inheritance type getentityname entity
MTHSIG19	gettable table
MTHSIG10	getmergemethod merge
VARIABLES	governorphysicaltypemetadata governor physical type metadata identifiertype identifier type identifierfield identifier field identifiercolumn identifier column versiontype version type versionfield version field versioncolumn version column persistmethod persist flushmethod flush clearmethod clear mergemethod merge removemethod remove countmethod count findallmethod find findmethod find findentriesmethod find entries finders persistenceunit persistence unit mappedsuperclass mapped superclass table schema catalog inheritancetype inheritance type entityname entity
