VARSIG7	javasymbolname symbol mappedby mapped
VARSIG6	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG3	javatype type genericparametertypename parameter type
VARSIG2	javasymbolname symbol fieldname field
VARSIG5	fetch fetch
VARSIG4	cardinality cardinality
COMMENTS	properties side relationship elementcollection element collection enums called set order lineitem item link order set orders limited support collection mapping reflects pragmatic goals tool fact user edit generated files hand field intended jsr create onetomany annotation enums elementcollection element collection annotation created jsr onetomany mappedby mapped annotation attribute assume set field
CLASSES	setfield set field
VARSIG1	javatype type fieldtype field type
VARSIG0	physicaltypeidentifier physical type identifier
METHODS	setfield set field getfetch fetch setfetch set fetch decorateannotationslist decorate annotations list getinitializer initializer getmappedby mapped setmappedby set mapped
MTHSIG4	getinitializer initializer
MTHSIG5	getmappedby mapped
MTHSIG6	setmappedby set mapped javasymbolname symbol mappedby mapped
MTHSIG0	setfield set field physicaltypeidentifier physical type identifier javatype type fieldtype field type javasymbolname symbol fieldname field javatype type genericparametertypename parameter type cardinality cardinality
MTHSIG1	getfetch fetch
PACKAGE	springframework roo classpath operations jsr jsr
MTHSIG2	setfetch set fetch fetch fetch
MTHSIG3	decorateannotationslist decorate annotations list list annotationmetadatabuilder annotation metadata builder annotations
VARIABLES	physicaltypeidentifier physical type identifier fieldtype field type fieldname field genericparametertypename parameter type cardinality fetch annotations mappedby mapped mappedby mapped cardinality fetch attributes params
