VARSIG3	enumtype type enumtype type
VARSIG2	javasymbolname symbol fieldname field
VARSIG4	list annotationmetadatabuilder annotation metadata builder annotations
COMMENTS	field intended jsr create enumerated annotation
CLASSES	enumfield field
VARSIG1	javatype type fieldtype field type
VARSIG0	physicaltypeidentifier physical type identifier
METHODS	enumfield field getenumtype type setenumtype set type decorateannotationslist decorate annotations list
MTHSIG0	enumfield field physicaltypeidentifier physical type identifier javatype type fieldtype field type javasymbolname symbol fieldname field
MTHSIG1	getenumtype type
PACKAGE	springframework roo classpath operations jsr jsr
MTHSIG2	setenumtype set type enumtype type enumtype type
MTHSIG3	decorateannotationslist decorate annotations list list annotationmetadatabuilder annotation metadata builder annotations
VARIABLES	physicaltypeidentifier physical type identifier fieldtype field type fieldname field enumtype type annotations enumtype type attributes
