MTHSIG28	getgaefindmethodbody gae find body
MTHSIG29	getfindentriesmethod find entries
MTHSIG26	getfindallmethod find
MTHSIG27	getfindmethod find
MTHSIG24	getentitymanagermethod entity manager
MTHSIG25	getcountmethod count
MTHSIG22	addtransactionalannotation add transactional annotation list annotationmetadatabuilder annotation metadata builder annotations ispersistmethod persist
MTHSIG23	addtransactionalannotation add transactional annotation list annotationmetadatabuilder annotation metadata builder annotations
MTHSIG4	gettableannotation table annotation
MTHSIG5	getinheritanceannotation inheritance annotation
MTHSIG6	getdiscriminatorcolumnannotation discriminator column annotation
MTHSIG7	getentitymanagerfield entity manager field
MTHSIG0	entitymetadata entity metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata entitymetadata entity metadata parent noargconstructor arg constructor plural projectmetadata project metadata projectmetadata project metadata memberdetails member details memberdetails member details list identifier identifierserviceresult identifier service result
MTHSIG1	getentityannotation entity annotation
PACKAGE	springframework roo addon entity
MTHSIG2	getmappedsuperclassannotation mapped superclass annotation
MTHSIG3	gettypeannotation type annotation javatype type annotationtype annotation type
MTHSIG20	getmergemethod merge
MTHSIG21	getdelegatemethod delegate javasymbolname symbol methodname entitymanagerdelegate entity manager delegate
MTHSIG8	getnoargconstructor arg constructor
MTHSIG9	getidentifierfield identifier field
MTHSIG37	getpath path metadataidentificationstring metadata identification
MTHSIG38	isvalid valid metadataidentificationstring metadata identification
MTHSIG35	createidentifier create identifier javatype type javatype type path path
MTHSIG36	getjavatype type metadataidentificationstring metadata identification
MTHSIG33	tostring
MTHSIG34	getmetadataidentifiertype metadata identifier type
CLASSES	entitymetadata entity metadata
METHODS	entitymetadata entity metadata getentityannotation entity annotation getmappedsuperclassannotation mapped superclass annotation gettypeannotation type annotation gettableannotation table annotation getinheritanceannotation inheritance annotation getdiscriminatorcolumnannotation discriminator column annotation getentitymanagerfield entity manager field getnoargconstructor arg constructor getidentifierfield identifier field getidentifierfield identifier field getidentifieraccessor identifier accessor getidentifiermutator identifier mutator getversionfield version field getversionaccessor version accessor getversionmutator version mutator getpersistmethod persist getremovemethod remove getflushmethod flush getclearmethod clear getmergemethod merge getdelegatemethod delegate addtransactionalannotation add transactional annotation addtransactionalannotation add transactional annotation getentitymanagermethod entity manager getcountmethod count getfindallmethod find getfindmethod find getgaefindmethodbody gae find body getfindentriesmethod find entries addsuppresswarnings add suppress warnings getdynamicfinders dynamic finders getplural plural tostring getmetadataidentifiertype metadata identifier type createidentifier create identifier getjavatype type getpath path isvalid valid
VARSIG23	metadataidentificationstring metadata identification
VARSIG22	metadataidentificationstring metadata identification
VARSIG21	path path
VARSIG20	javatype type javatype type
VARSIG24	metadataidentificationstring metadata identification
MTHSIG31	getdynamicfinders dynamic finders
MTHSIG32	getplural plural
MTHSIG30	addsuppresswarnings add suppress warnings list annotationmetadatabuilder annotation metadata builder annotations
VARSIG7	memberdetails member details memberdetails member details
VARSIG6	projectmetadata project metadata projectmetadata project metadata
VARSIG9	javatype type annotationtype annotation type
VARSIG8	list identifier identifierserviceresult identifier service result
VARSIG3	entitymetadata entity metadata parent
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	plural
VARSIG4	noargconstructor arg constructor
