VARSIG7	nullrequired required
VARSIG6	column
VARSIG9	
VARSIG8	unique
VARSIG3	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG2	javasymbolname symbol fieldname field
VARSIG5	comment
VARSIG4	notnull
COMMENTS	base common jsr jsr properties auto generated jpa column type receive field type field field jsr notnull annotation jsr annotation doc comments reserved expansion unique column annotation spring
VARSIG1	javatype type fieldtype field type
VARSIG0	physicaltypeidentifier physical type identifier
MTHSIG4	getcomment comment
MTHSIG5	setcomment set comment comment
MTHSIG6	getcolumn column
MTHSIG7	setcolumn set column column
MTHSIG0	fielddetails field details physicaltypeidentifier physical type identifier javatype type fieldtype field type javasymbolname symbol fieldname field
MTHSIG1	decorateannotationslist decorate annotations list list annotationmetadatabuilder annotation metadata builder annotations
PACKAGE	springframework roo classpath operations jsr jsr
MTHSIG2	isnotnull
MTHSIG3	setnotnull set notnull
MTHSIG8	isnullrequired required
MTHSIG9	setnullrequired set required nullrequired required
MTHSIG15	setvalue set
MTHSIG16	getvalue
MTHSIG13	isunique unique
MTHSIG14	setunique set unique unique
MTHSIG11	getfieldtype field type
MTHSIG12	getfieldname field
CLASSES	fielddetails field details
METHODS	fielddetails field details decorateannotationslist decorate annotations list isnotnull setnotnull set getcomment comment setcomment set comment getcolumn column setcolumn set column isnullrequired required setnullrequired set required getphysicaltypeidentifier physical type identifier getfieldtype field type getfieldname field isunique unique setunique set unique setvalue set getvalue
MTHSIG10	getphysicaltypeidentifier physical type identifier
VARIABLES	physicaltypeidentifier physical type identifier fieldtype field type fieldname field annotations notnull comment column nullrequired required unique column column physicaltypeidentifier physical type identifier fieldtype field type fieldname field notnull nullrequired required comment unique columnbuilder column builder attrs attrs attrs
