VARSIG6	saved
VARSIG3	placecontroller place controller placecontroller place controller
VARSIG2	proxyeditview proxy edit view view
VARSIG5	eventbus event bus eventbus event bus
VARSIG4	acceptsonewidget accepts widget display
COMMENTS	link abstractproxyeditactivity proxy edit activity create instance edit type proxy create edit called user cancels saved refines implementation clear display link start cancel saved comitted user canceled
CLASSES	createandeditproxy create edit proxy
VARSIG1	requestcontext request context request
VARSIG0	proxyclass proxy
METHODS	createandeditproxy create edit proxy start exit getproxy proxy
MTHSIG0	createandeditproxy create edit proxy proxyclass proxy requestcontext request context request proxyeditview proxy edit view view placecontroller place controller placecontroller place controller
MTHSIG1	start acceptsonewidget accepts widget display eventbus event bus eventbus event bus
PACKAGE	top level client scaffold place
MTHSIG2	exit saved
MTHSIG3	getproxy proxy
VARIABLES	proxyclass proxy request view placecontroller place controller display eventbus event bus saved proxy placecontroller place controller proxyclass proxy
