VARSIG7	jspfilename jsp filename
VARSIG6	javasymbolname symbol paramname
VARSIG9	exception
VARSIG8	document proposed
VARSIG3	methodmetadata metadata
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	findermetadatadetails finder metadata details finderdetails finder details
VARSIG4	fieldmetadata field metadata
COMMENTS	listens link webscaffoldmetadata web scaffold metadata produces jsps requested metadata work mids metadata depend javatype type path web scaffold controller can scaffold don manage jsps time install web artifacts spring mvc config missing holding directory controller directory jsps add create menu item setup labels support add list menu item finders scaffolded finder roo add find menu item clean links finders removed disk changed updated created mutablefile mutable file write contents jspcontent jsp content file build representation jsp write file file existing file contents wrote file file existed contained content physical type changed determine local metadata identification proceed downstream dependency relationship registered registered event delivered instance specific downstream dependency processed
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
MTHSIG4	notify upstreamdependency upstream dependency downstreamdependency downstream dependency
VARSIG12	downstreamdependency downstream dependency
MTHSIG5	getprovidestype type
VARSIG11	upstreamdependency upstream dependency
MTHSIG6	installimage install image imagepath image path
VARSIG10	ioexception exception ioe
MTHSIG7	getmemberdetails member details javatype type type
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
VARSIG15	javatype type type
PACKAGE	springframework roo addon web mvc jsp
MTHSIG2	metadataidentificationstring metadata identification
VARSIG14	exception
MTHSIG3	writetodiskifnecessary write disk jspfilename jsp filename document proposed
VARSIG13	imagepath image path
CLASSES	jspmetadatalistener jsp metadata listener
METHODS	activate deactivate writetodiskifnecessary write disk notify getprovidestype type installimage install image getmemberdetails member details
VARIABLES	context context metadataidentificationstring metadata identification finderdetails finder details paramname jspfilename jsp filename proposed ioe upstreamdependency upstream dependency downstreamdependency downstream dependency imagepath image path type filemanager file manager jspoperations jsp operations memberdetailsscanner member details scanner menuoperations menu operations metadatadependencyregistry metadata dependency registry metadataservice metadata service propfileoperations prop file operations projectoperations project operations typelocationservice type location service tilesoperations tiles operations webscaffoldmetadatakey web scaffold metadata key webscaffoldmetadata web scaffold metadata formbackingtype formbacking type formbackingtypemetadatadetails form backing type metadata details pathresolver path resolver projectmetadata project metadata memberdetails member details elegiblefields elegible fields viewmanager view manager controllerpath controller path destinationdirectory destination directory file listpath list path showpath path categoryname category properties listpath list path menuitemid menu item listpath list path resourceid resource pluralresourceid plural resource javatypepersistencemetadatadetails type persistence metadata details fieldname field field fieldresourceid field resource typepersistencemetadatadetails type persistence metadata details menuitemid menu item allowedmenuitems allowed menu items findermethodsdetails finder methods details findername finder listpath list path finderlabel finder label original mutablefile mutable file bytearrayoutputstream array output stream jspcontent jsp content javatype type path pathresolver path resolver imagefile image file formbackingobjectphysicaltypemetadata form backing object physical type metadata
