VARSIG7	exported
VARSIG6	set foreignkey foreign key foreignkeys foreign
VARSIG9	document document
VARSIG8	element tableelement table element
VARSIG3	column column
VARSIG2	table table
VARSIG5	indexcolumn column indexcolumn column
VARSIG4	
COMMENTS	assists converting link database xml dom sax don process option elements
VARSIG19	element tableelement table element
VARSIG1	outputstream output stream outputstream output stream
VARSIG18	inputstream input stream inputstream input stream
VARSIG0	database database
VARSIG17	exception
MTHSIG4	readschemafrominputstream read schema input stream inputstream input stream inputstream input stream
VARSIG12	key
MTHSIG5	readdatabasestructurefrominputstreamwithdom read database structure input stream dom inputstream input stream inputstream input stream
VARSIG11	reference reference
VARSIG33	exception
MTHSIG6	addindices add indices table table element tableelement table element indextype type indextype type
VARSIG10	foreignkey foreign key foreignkey foreign key
VARSIG32	emptystackexception empty stack exception
MTHSIG7	getdocument document inputstream input stream inputstream input stream
VARSIG31	inputstream input stream inputstream input stream
MTHSIG0	writedatabasestructuretooutputstream write database structure output stream database database outputstream output stream outputstream output stream
VARSIG16	inputstream input stream inputstream input stream
MTHSIG1	addforeignkeyelements add foreign key elements set foreignkey foreign key foreignkeys foreign exported element tableelement table element document document
VARSIG15	inputstream input stream inputstream input stream
PACKAGE	springframework roo addon dbre model
MTHSIG2	createoptionelement create option element key document document
VARSIG14	document document
MTHSIG3	readschemafrominputstreamwithdom read schema input stream dom inputstream input stream inputstream input stream
VARSIG13	
MTHSIG8	readdatabasestructurefrominputstream read database structure input stream inputstream input stream inputstream input stream
VARSIG30	exception
CLASSES	databasexmlutils database xml utils
VARSIG29	inputstream input stream inputstream input stream
VARSIG28	element indexcolumnelement column element
METHODS	writedatabasestructuretooutputstream write database structure output stream addforeignkeyelements add foreign key elements createoptionelement create option element readschemafrominputstreamwithdom read schema input stream dom readschemafrominputstream read schema input stream readdatabasestructurefrominputstreamwithdom read database structure input stream dom addindices add indices getdocument document readdatabasestructurefrominputstream read database structure input stream
VARSIG23	element referenceelement reference element
VARSIG22	element optionelement option element
VARSIG21	element foreignkeyelement foreign key element
VARSIG20	element columnelement column element
VARSIG27	element element
VARSIG26	indextype type indextype type
VARSIG25	element tableelement table element
VARSIG24	table table
VARIABLES	database outputstream output stream table column indexcolumn column foreignkeys foreign exported tableelement table element document foreignkey foreign key reference key document inputstream input stream inputstream input stream inputstream input stream tableelement table element columnelement column element foreignkeyelement foreign key element optionelement option element referenceelement reference element table tableelement table element indextype type element indexcolumnelement column element inputstream input stream inputstream input stream local foreign foreign table description reference update delete indextype type document comment databaseelement database element tableelement table element columnelement column element indexelement element indexcolumnelement column element transformer foreignkeyelement foreign key element foreigntablename foreign table referenceelement reference element option document databaseelement database element spf parser contenthandler content handler document databaseelement database element tables tableelements table elements table columnelements column elements type datatypeandname data type datatype data type typename type size columnsize column size decimaldigits decimal digits precisionscale precision scale column foreignkeyelements foreign key elements foreignkey foreign key optionelements option elements referenceelements reference elements reference destinationjavapackage destination elements indexcolumnelements column elements indexcolumn column builder spf parser contenthandler content handler
