VARSIG6	classorinterfacetypedetails type details governortypedetails governor type details
VARSIG3	requesttype request type
VARSIG2	javatype type governortype governor type
VARSIG5	classorinterfacetypedetails type details governortypedetails governor type details
VARSIG4	classorinterfacetypedetails type details childtype child type
COMMENTS	
CLASSES	gwttypeservice gwt type service
VARSIG1	projectmetadata project metadata projectmetadata project metadata
VARSIG0	javatype type type
METHODS	getgwtsideleaftype gwt side leaf type getextendstypes types getclientsidetypemap client side type map getclienttypemap client type map
MTHSIG0	getgwtsideleaftype gwt side leaf type javatype type type projectmetadata project metadata projectmetadata project metadata javatype type governortype governor type requesttype request type
MTHSIG1	getextendstypes types classorinterfacetypedetails type details childtype child type
PACKAGE	springframework roo addon gwt
MTHSIG2	getclientsidetypemap client side type map classorinterfacetypedetails type details governortypedetails governor type details
MTHSIG3	getclienttypemap client type map classorinterfacetypedetails type details governortypedetails governor type details
VARIABLES	type projectmetadata project metadata governortype governor type requesttype request type childtype child type governortypedetails governor type details governortypedetails governor type details
