MTHSIG0	isavailable
VARSIG3	clioption cli option key permitreservedwords permit reserved mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue reserved roo permitreservedwords permit reserved
MTHSIG1	newmocktest mock test javatype type entity permitreservedwords permit reserved
VARSIG2	clioption cli option key entity mandatory unspecifieddefaultvalue unspecified optioncontext option context update project entity mock test targeting javatype type entity
PACKAGE	springframework roo addon test
MTHSIG2	newteststub test stub javatype type entity permitreservedwords permit reserved
COMMENTS	shell commands link integrationtestoperationsimpl integration test operations impl
CLASSES	integrationtestcommands integration test commands
VARIABLES	entity permitreservedwords permit reserved entity permitreservedwords permit reserved integrationtestoperations integration test operations projectoperations project operations
VARSIG1	clioption cli option key permitreservedwords permit reserved mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue reserved roo permitreservedwords permit reserved
VARSIG0	clioption cli option key entity mandatory unspecifieddefaultvalue unspecified optioncontext option context update project entity mock test targeting javatype type entity
METHODS	isavailable newmocktest mock test newteststub test stub
