VARSIG3	object obj
VARSIG2	columnname column
COMMENTS	represents entity identifier
CLASSES	identifier
VARSIG1	javatype type fieldtype field type
VARSIG0	javasymbolname symbol fieldname field
METHODS	identifier getfieldname field getfieldtype field type getcolumnname column hashcode hash code equals tostring
MTHSIG4	hashcode hash code
MTHSIG5	equals object obj
MTHSIG6	tostring
MTHSIG0	identifier javasymbolname symbol fieldname field javatype type fieldtype field type columnname column
MTHSIG1	getfieldname field
PACKAGE	springframework roo addon entity
MTHSIG2	getfieldtype field type
MTHSIG3	getcolumnname column
VARIABLES	fieldname field fieldtype field type columnname column obj fieldname field fieldtype field type columnname column prime result
