VARSIG7	tabl tabl 
VARSIG6	includenonportableattribut includ portabl attribut 
VARSIG9	foreignkei foreign kei foreignkei foreign kei 
VARSIG8	tabl tabl 
VARSIG3	tabl tabl 
VARSIG2	 
VARSIG5	testautomat test automat 
VARSIG4	javapackag destinationpackag destin 
COMMENTS	repres databas model tabl databas databas model default catalog schema tabl javapackag entiti creat creat integr test includ portabl jpa attribu column annot initialis model establish relationship element model foreign mark repeat column insert updat determin tabl join tabl identifi join tabl tabl primari foreign point entiti tabl column 
VARSIG19	indexcolumn column indexcolumn column 
VARSIG1	set tabl tabl 
VARSIG18	 
VARSIG0	 
VARSIG17	tabl tabl 
MTHSIG4	hastabl tabl 
VARSIG12	foreignkei foreign kei foreignkei foreign kei 
MTHSIG5	gettabl tabl 
VARSIG11	map entri column set foreignkei foreign kei entryset entri set 
MTHSIG6	getdestinationpackag destin 
VARSIG10	refer refer 
MTHSIG7	setdestinationpackag set destin javapackag destinationpackag destin 
MTHSIG0	databas set tabl tabl 
VARSIG16	refer refer 
MTHSIG1	getnam 
VARSIG15	foreignkei foreign kei exportedkei export kei 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	getschema schema 
VARSIG14	tabl tabl 
MTHSIG3	gettabl tabl 
VARSIG13	refer refer 
MTHSIG8	istestautomat test automat 
MTHSIG9	settestautomat set test automat testautomat test automat 
MTHSIG17	tostr 
MTHSIG15	initializeindic initi indic tabl tabl 
MTHSIG16	initializejoint initi join tabl tabl tabl 
MTHSIG13	initializeimportedkei initi import tabl tabl 
MTHSIG14	initializeexportedkei initi export tabl tabl 
MTHSIG11	setincludenonportableattribut set includ portabl attribut includenonportableattribut includ portabl attribut 
MTHSIG12	initi 
CLASSES	databas 
METHODS	databas getnam getschema schema gettabl tabl hastabl tabl gettabl tabl getdestinationpackag destin setdestinationpackag set destin istestautomat test automat settestautomat set test automat isincludenonportableattribut includ portabl attribut setincludenonportableattribut set includ portabl attribut initi initializeimportedkei initi import initializeexportedkei initi export initializeindic initi indic initializejoint initi join tabl tostr 
VARSIG20	tabl tabl 
MTHSIG10	isincludenonportableattribut includ portabl attribut 
VARIABLES	tabl tabl destinationpackag destin testautomat test automat includenonportableattribut includ portabl attribut tabl tabl foreignkei foreign kei refer entryset entri set foreignkei foreign kei refer tabl exportedkei export kei refer tabl indexcolumn column tabl serialversionuid serial version uid tabl destinationpackag destin testautomat test automat includenonportableattribut includ portabl attribut keysequencemap kei sequenc map keysequ kei sequenc repeatedcolumn repeat column foreigntablenam foreign tabl targett target tabl localcolumn local column fkset set foreigncolumn foreign column foreignkei foreign keysequencemap kei sequenc map keysequ kei sequenc foreigntablenam foreign tabl targett target tabl localcolumn local column foreigncolumn foreign column column equal iter column 
