MTHSIG28	getresourc resourc xpathexpress path express element configur 
MTHSIG29	getdbxpath path jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG26	getfilt filter xpathexpress path express element configur 
MTHSIG27	getplugin plugin xpathexpress path express element configur 
MTHSIG24	cleanup element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG25	getdepend depend xpathexpress path express element configur 
MTHSIG22	updateeclipseplugin updat plugin addtoplugin add plugin 
MTHSIG23	updatedatanucleusplugin updat data nucleu plugin addtoplugin add plugin 
MTHSIG4	getpersistencepath persist path 
VARSIG78	ormprovid orm provid ormprovid orm provid 
MTHSIG5	getdatabasepropertiespath databas properti path 
VARSIG77	element configur 
MTHSIG6	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi applicationid applic hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG76	filter filter 
MTHSIG7	updateapplicationcontext updat applic context ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi persistenceunit persist unit 
VARSIG75	element filterel filter element 
MTHSIG0	isjpainstallationposs jpa instal 
MTHSIG1	isjpainstal jpa instal 
MTHSIG2	hasdatabaseproperti databas properti 
MTHSIG3	getdatabaseproperti databas properti 
VARSIG79	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG20	updateresourc updat resourc element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG70	element pluginrepositoryel plugin repositori element 
MTHSIG21	updatebuildplugin updat build plugin element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG8	updatepersistencexml updat persist xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG74	element filterel filter element 
MTHSIG9	getconnectionstr connect jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas 
VARSIG73	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG72	ormprovid orm provid ormprovid orm provid 
VARSIG71	element configur 
MTHSIG35	getpropertiesfromdatanucleusconfigur properti data nucleu configur 
MTHSIG33	createpropertyel creat properti element document document 
MTHSIG34	createrefel creat element document document 
