MTHSIG0	ispersistentclassavail persist 
VARSIG3	javatyp type entiti 
MTHSIG1	newdod dod javatyp type entiti javatyp type path path 
VARSIG2	path path 
PACKAGE	springframework roo addon dod 
MTHSIG2	getent entiti javatyp type entiti 
COMMENTS	implement link dataondemandoper data demand oper verifi request entiti exist check request entiti jpa entiti proce file exist entiti entiti lookup requir type detail except pars 
CLASSES	dataondemandoperationsimpl data demand oper impl 
VARIABLES	entiti path entiti filemanag file manag metadataservic metadata servic memberdetailsscann member detail scanner projectoper project oper typemanagementservic type manag servic classorinterfacetypedetail type detail memberdetail member detail entityannot entiti annot declaredbymetadataid declar metadata annot dodconfig dod config typedetailsbuild type detail builder physicaltypeidentifi physic type identifi ptm ptd 
VARSIG1	javatyp type 
VARSIG0	javatyp type entiti 
METHODS	ispersistentclassavail persist newdod dod getent entiti 
