VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	fieldmetadata field metadata field 
VARSIG8	fieldmetadata field metadata field 
VARSIG3	producedmid produc mid 
VARSIG2	upstreamdepend upstream depend 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link javabeanmetadata bean metadata work mid metadata depend interest field annot javax persist field common collect type element type don happen 
VARSIG19	fieldmetadata field metadata field 
VARSIG1	componentcontext compon context context 
VARSIG18	memberholdingtypedetail member hold type detail member 
VARSIG0	componentcontext compon context context 
VARSIG17	annotationmetadata annot metadata fieldannot field annot 
MTHSIG4	isgaeinterest gae interest fieldmetadata field metadata field 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	except 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	annotationmetadata annot metadata annotationmetadata annot metadata 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	annotationmetadata annot metadata annot 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	classorinterfacetypedetail type detail governortypedetail governor type detail 
PACKAGE	springframework roo addon javabean 
MTHSIG2	notifyforgenericlisten notifi listen upstreamdepend upstream depend 
VARSIG14	path path 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	javatyp type javatyp type 
MTHSIG8	getprovidestyp type 
MTHSIG9	getidentifierfield identifi field classorinterfacetypedetail type detail governortypedetail governor type detail 
CLASSES	javabeanmetadataprovid bean metadata provid 
METHODS	activ deactiv notifyforgenericlisten notifi listen getmetadata metadata isgaeinterest gae interest getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type getidentifierfield identifi field 
VARIABLES	context context upstreamdepend upstream depend producedmid produc mid metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam field field annotationmetadata annot metadata metadataidentificationstr metadata identif javatyp type path governortypedetail governor type detail annot fieldannot field annot member field projectoper project oper typelocationservic type locat servic producedmid produc mid wasgaeen gae enabl projectmetadata project metadata isgaeen gae enabl hasgaestatechang gae chang projectmetadata project metadata declaredfield declar field physicaltypedetail physic type detail governortypedetail governor type detail fieldtyp field type classorinterfacetypedetail type detail identifierfield identifi field javatyp type path possibleidentifierfield identifi field 
