VARSIG7	fileidentifi file identifi 
VARSIG6	filemanag file manag filemanag file manag 
VARSIG9	annotationmetadata annot metadata annot 
VARSIG8	annotationmetadata annot metadata annot 
VARSIG3	javatyp type typenam type 
VARSIG2	declaredbymetadataid declar metadata 
VARSIG5	physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG4	metadataservic metadata servic metadataservic metadata servic 
COMMENTS	parser implement link mutableclassorinterfacetypedetail mutabl type detail immut construct build replac annotationmetadata annot metadata variabl track attribut valu replac hold add copi incom attribut exist attributestodeleteifpres attribut delet set copi exist attribut attribut ensur incom attribut replac exist add attribut list attribut attribut determin attribut materi attribut exist add replac attribut materi annotationmetadata annot metadata repres replac 
VARSIG19	javasymbolnam symbol fieldnam field 
VARSIG1	typedeclar type declar typedeclar type declar 
VARSIG18	javasymbolnam symbol 
VARSIG0	compilationunit compil unit compilationunit compil unit 
VARSIG17	fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG4	removetypeannot remov type annot javatyp type annotationtyp annot type 
VARSIG12	javasymbolnam symbol incomingattributenam incom attribut 
MTHSIG5	doremovetypeannot remov type annot javatyp type annotationtyp annot type 
VARSIG11	set javasymbolnam symbol attributestodeleteifpres attribut delet 
MTHSIG6	addfield add field fieldmetadata field metadata fieldmetadata field metadata 
VARSIG10	annotationmetadata annot metadata annot 
MTHSIG7	addenumconst add constant javasymbolnam symbol 
MTHSIG0	javaparsermutableclassorinterfacetypedetail parser mutabl type detail compilationunit compil unit compilationunit compil unit typedeclar type declar typedeclar type declar declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid filemanag file manag filemanag file manag fileidentifi file identifi 
VARSIG16	javatyp type annotationtyp annot type 
MTHSIG1	addtypeannot add type annot annotationmetadata annot metadata annot 
VARSIG15	javatyp type annotationtyp annot type 
PACKAGE	springframework roo classpath javapars 
MTHSIG2	doaddtypeannot add type annot annotationmetadata annot metadata annot 
VARSIG14	javasymbolnam symbol incomingattributenam incom attribut 
MTHSIG3	updatetypeannot updat type annot annotationmetadata annot metadata annot set javasymbolnam symbol attributestodeleteifpres attribut delet 
VARSIG13	javasymbolnam symbol existingattributenam exist attribut 
MTHSIG8	removefield remov field javasymbolnam symbol fieldnam field 
MTHSIG9	addmethod add methodmetadata metadata methodmetadata metadata 
CLASSES	javaparsermutableclassorinterfacetypedetail parser mutabl type detail 
METHODS	javaparsermutableclassorinterfacetypedetail parser mutabl type detail addtypeannot add type annot doaddtypeannot add type annot updatetypeannot updat type annot removetypeannot remov type annot doremovetypeannot remov type annot addfield add field addenumconst add constant removefield remov field addmethod add flush 
VARSIG21	ioexcept except ioe 
VARSIG20	methodmetadata metadata methodmetadata metadata 
MTHSIG10	flush 
VARIABLES	compilationunit compil unit typedeclar type declar declaredbymetadataid declar metadata typenam type metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid filemanag file manag fileidentifi file identifi annot annot annot attributestodeleteifpres attribut delet incomingattributenam incom attribut existingattributenam exist attribut incomingattributenam incom attribut annotationtyp annot type annotationtyp annot type fieldmetadata field metadata fieldnam field methodmetadata metadata ioe filemanag file manag fileidentifi file identifi annot writechangestodisk write disk replacementattributevalu replac attribut valu exist incomingvalu incom replac existingvalu exist incomingvalu incom existingvalu exist replac annot member constant member member compilationunitinputstream compil unit input stream mutablefil mutabl file 
