MTHSIG28	iscompat compat version 
MTHSIG29	getversionforcompat version compat 
MTHSIG26	checkaddonstabilitylevel check add stabil level addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
MTHSIG27	printsepar print separ 
MTHSIG24	verifyrepositori verifi repositori repourl repo url 
MTHSIG25	getupgradablebundl upgrad bundl addonstabilitylevel add stabil level asl 
MTHSIG22	countbundl count bundl 
MTHSIG23	loginfo log info label content 
MTHSIG4	installaddon instal add addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG5	installaddon instal add bundlekei bundl kei 
MTHSIG6	installaddon instal addon bundlevers bundl version bundlevers bundl version bsn 
MTHSIG7	installorupgradeaddon instal upgrad add bundlevers bundl version bundlevers bundl version bsn instal 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	addoninfo add info addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG2	addoninfo add info bundlekei bundl kei 
MTHSIG3	addoninfo add info bundl bundl bundlevers bundl version bundlevers bundl version 
MTHSIG20	populatebundlecach popul bundl cach startuptim startup time 
VARSIG70	osgi framework bundl bundl 
MTHSIG21	printaddonstat print addon stat 
MTHSIG8	removeaddon remov add bundlesymbolicnam bundl symbol bsn 
VARSIG74	osgi framework bundl bundl 
MTHSIG9	searchaddon search add on showfeedback feedback searchterm search term refresh linesperresult line result maxresult max trustedonli trust compatibleonli compat communityonli commun requirescommand requir command 
VARSIG73	bundl search 
VARSIG72	version 
VARSIG71	addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
METHODS	activ addoninfo add info addoninfo add info addoninfo add info installaddon instal add installaddon instal add installaddon instal addon installorupgradeaddon instal upgrad add removeaddon remov add searchaddon search add on listaddon list add on upgradesavail upgrad upgradeaddon upgrad add on upgradeaddon upgrad add upgradeaddon upgrad add upgradeset upgrad set getaddoncach add cach filterlist filter list printresultlist print result list istrustedkei trust kei populatebundlecach popul bundl cach printaddonstat print addon stat countbundl count bundl loginfo log info verifyrepositori verifi repositori getupgradablebundl upgrad bundl checkaddonstabilitylevel check add stabil level printsepar print separ iscompat compat getversionforcompat version compat isbundleinstal bundl instal 
VARSIG67	element resourc 
VARSIG66	repourl repo url 
VARSIG65	content 
VARSIG64	label 
VARSIG69	addonstabilitylevel add stabil level asl 
VARSIG68	except 
MTHSIG30	isbundleinstal bundl instal bundl search 
VARSIG63	ioexcept except 
VARSIG62	throwabl ignor 
VARSIG61	element shell 
VARSIG60	element versionel version element 
COMMENTS	implement command roo shell pgp verif requir bundl instal log need refresh set relev bundl problem add refresh handl http wasn eager startup time attempt let displai error reason startup time fail quietli appear acquir url let fallback normal protocol handler local develop test list add on core roo interest major minor secur reason accept httppgp add version prevent thread present roo shell 
VARSIG19	linesperresult line result 
VARSIG18	refresh 
VARSIG17	searchterm search term 
VARSIG12	bundlevers bundl version bundlevers bundl version 
VARSIG11	bsn 
VARSIG10	bundlevers bundl version bundlevers bundl version 
VARSIG16	showfeedback feedback 
VARSIG15	bundlesymbolicnam bundl symbol bsn 
VARSIG14	instal 
VARSIG13	bsn 
MTHSIG17	filterlist filter list list bundl bundl trustedonli trust compatibleonli compat communityonli commun requirescommand requir command onlyrelevantbundl relev bundl 
MTHSIG18	printresultlist print result list linkedlist link list bundl bundl maxresult max linesperresult line result 
