VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	memberdetail member detail memberdetail member detail 
VARSIG3	methodmetadata metadata 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link dataondemandmetadata data demand metadata dod class configur dod class provid relationship determin governor dod metadata hope hear javatyp type itd dod interest javatyp type let move dod metadata let check care method match requir dod care javatyp type offer interest let formal trigger note scan discov regist direct depend pars annot expect rememb entiti javatyp type match dod dod metadata identif start clear previou associ inform depend metadata identifi mutat care entiti embed identifi metadata holder embed identifi exist add method care locatedmut locat mutat includ version field shouldn mutat user includ persist field includ sort collect user entiti hand collabor metadata track check field type ensur persist type check field manytoon onetoon annot metadata reli 
VARSIG19	fieldmetadata field metadata field 
VARSIG1	componentcontext compon context context 
VARSIG18	metadataidentificationstr metadata identif 
VARSIG0	componentcontext compon context context 
VARSIG17	fieldmetadata field metadata identifierfield identifi field 
MTHSIG4	getlocatedmut locat mutat memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	getembeddedidentifierhold embed identifi holder memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG11	memberdetail member detail memberdetail member detail 
MTHSIG6	hasexactfield exact field constructormetadata constructor metadata constructor list fieldmetadata field metadata identifierfield identifi field 
VARSIG10	methodmetadata metadata 
MTHSIG7	locatecollaboratingmetadata locat collabor metadata metadataidentificationstr metadata identif fieldmetadata field metadata field 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	list fieldmetadata field metadata identifierfield identifi field 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	constructormetadata constructor metadata constructor 
PACKAGE	springframework roo addon dod 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
VARSIG14	constructormetadata constructor metadata constructor 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	fieldmetadata field metadata field 
MTHSIG8	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG9	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG11	getprovidestyp type 
CLASSES	dataondemandmetadataprovid data demand metadata provid 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata getlocatedmut locat mutat getembeddedidentifierhold embed identifi holder hasexactfield exact field locatecollaboratingmetadata locat collabor metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARSIG22	path path 
VARSIG21	javatyp type javatyp type 
VARSIG20	metadataidentificationstr metadata identif 
MTHSIG10	createlocalidentifi creat local identifi javatyp type javatyp type path path 
VARIABLES	context context itdtypedetail type detail metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam memberdetail member detail metadataidentificationstr metadata identif memberdetail member detail metadataidentificationstr metadata identif field constructor constructor identifierfield identifi field identifierfield identifi field metadataidentificationstr metadata identif field metadataidentificationstr metadata identif javatyp type path configurablemetadataprovid configur metadata provid entitytododmidmap entiti dod mid map dodmidtoentitymap dod mid entiti map governor localmid local mid annotationvalu annot valu oldent entiti memberdetail member detail persistencememberholdingtypedetail persist member hold type detail findentriesmethod find entri persistmethod persist flushmethod flush findmethod find identifieraccessor identifi accessor locatedmut locat mutat embeddedidentifierhold embed identifi holder locatedmut locat mutat propertynam properti field fieldcustomdatakei field custom data othermetadata metadata identifierfield identifi field field embeddedidentifierfield embed identifi field identifiermemberdetail identifi member detail identifiermemberholdingtypedetail identifi member hold type detail constructor parametertyp paramet type fieldtyp field type fieldnam field name memberdetail member detail persistencememberholdingtypedetail persist member hold type detail otherprovid provid javatyp type path 
