VARSIG2	constructormetadata constructor metadata identifierconstructor identifi constructor 
COMMENTS	holder embed identifi attribut 
CLASSES	embeddedidentifierhold embed identifi holder 
VARSIG1	list fieldmetadata field metadata identifierfield identifi field 
VARSIG0	fieldmetadata field metadata embeddedidentifierfield embed identifi field 
METHODS	embeddedidentifierhold embed identifi holder getembeddedidentifierfield embed identifi field getembeddedidentifiermut embed identifi mutat getidentifierfield identifi field getidentifierconstructor identifi constructor 
MTHSIG4	getidentifierconstructor identifi constructor 
MTHSIG0	embeddedidentifierhold embed identifi holder fieldmetadata field metadata embeddedidentifierfield embed identifi field list fieldmetadata field metadata identifierfield identifi field constructormetadata constructor metadata identifierconstructor identifi constructor 
MTHSIG1	getembeddedidentifierfield embed identifi field 
PACKAGE	springframework roo addon dod 
MTHSIG2	getembeddedidentifiermut embed identifi mutat 
MTHSIG3	getidentifierfield identifi field 
VARIABLES	embeddedidentifierfield embed identifi field identifierfield identifi field identifierconstructor identifi constructor embeddedidentifierfield embed identifi field identifierfield identifi field identifierconstructor identifi constructor 
