VARSIG7	javapackag javapackag 
VARSIG6	tablenamepattern tabl pattern 
VARSIG9	tabl tabl 
VARSIG8	 
VARSIG3	set classorinterfacetypedetail type detail managedent manag entiti 
VARSIG2	classorinterfacetypedetail type detail managedent manag entiti 
VARSIG5	classorinterfacetypedetail type detail classorinterfacetypedetail type detail 
VARSIG4	tabl tabl 
COMMENTS	method find type base tabl name type field name tabl column name locat type present tabl managedent manag entiti set databas manag entiti search tablenamepattern tabl pattern tabl locat requir type locat type present tabl managedent manag entiti set databas manag entiti search tabl tabl locat requir type locat tabl present classorinterfacetypedetail type detail search tabl name start tabl annot link rooentiti roo entiti rooentiti roo entiti tabl attribut check return classorinterfacetypedetail type detail type search tabl locat tabl attribut tabl tabl foo tabl attribut rooentiti roo entiti rooentiti roo entiti tabl foo search continu return javatyp type tabl ident tablenamepattern tabl pattern tabl convert javapackag type javatyp type return field databas tabl column tabl column repres tabl column return field databas tabl tabl tabl repres tabl column 
CLASSES	dbretypeutil dbre type util 
VARSIG1	tablenamepattern tabl pattern 
VARSIG0	set classorinterfacetypedetail type detail managedent manag entiti 
METHODS	findtypefortablenam find type tabl findtypefort find type tabl gettablenam tabl suggesttypenamefornewt type tabl suggestfieldnam field suggestfieldnam field getnam 
MTHSIG4	suggestfieldnam field 
MTHSIG5	suggestfieldnam field tabl tabl 
VARSIG11	isfield field 
MTHSIG6	getnam str isfield field 
VARSIG10	str 
MTHSIG0	findtypefortablenam find type tabl set classorinterfacetypedetail type detail managedent manag entiti tablenamepattern tabl pattern 
MTHSIG1	findtypefort find type tabl set classorinterfacetypedetail type detail managedent manag entiti tabl tabl 
PACKAGE	springframework roo addon dbre 
MTHSIG2	gettablenam tabl classorinterfacetypedetail type detail classorinterfacetypedetail type detail 
MTHSIG3	suggesttypenamefornewt type tabl tablenamepattern tabl pattern javapackag javapackag 
VARIABLES	managedent manag entiti tablenamepattern tabl pattern managedent manag entiti managedent manag entiti tabl classorinterfacetypedetail type detail tablenamepattern tabl pattern javapackag tabl str isfield field tablenam tabl tablenam tabl annot nameattribut attribut tableattribut tabl attribut result result isdelimchar delim 
