VARSIG7	requiredtyp requir type 
VARSIG6	list complet 
VARSIG9	optioncontext option context 
VARSIG8	existingdata exist data 
VARSIG3	ioexcept except 
VARSIG2	optioncontext option context 
VARSIG5	optioncontext option context 
VARSIG4	requiredtyp requir type 
COMMENTS	convers cloud foundri model class 
VARSIG1	requiredtyp requir type 
VARSIG18	buffer 
VARSIG0	 
VARSIG17	option 
MTHSIG4	getoptionvalu option option buffer 
VARSIG12	option 
VARSIG11	filedetail file detail filedetail file detail 
VARSIG10	methodtarget target target 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
VARSIG16	 
MTHSIG1	support requiredtyp requir type optioncontext option context 
VARSIG15	file 
PACKAGE	springframework roo addon cloud foundri convert 
MTHSIG2	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARSIG14	integ memoryopt memori option 
MTHSIG3	getfileopt file option file 
VARSIG13	except 
CLASSES	cloudfoundryconvert cloud foundri convert 
METHODS	convertfromtext convert text support getallpossiblevalu valu getfileopt file option getoptionvalu option 
VARIABLES	requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target filedetail file detail option memoryopt memori option file option buffer logger creat option memori option suffix session filemanag file manag projectoper project oper rootpath root path filedetail file detail filetodeploi file deploi filetodeploi file deploi rootpath root path filedetail file detail uri appnam app path file option line option 
