VARSIG7	xpathexpress path express 
VARSIG6	jsfimplement jsf implement implement 
VARSIG9	element dependencyel depend element 
VARSIG8	element configur 
VARSIG3	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG2	except 
VARSIG5	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG4	element configur 
COMMENTS	implement link jsfoper jsf oper creat jsf manag bean entiti remov unnecessari artifact specif current jsf implement updat pom xml jsf primefac depend repositori check entiti metadata jsf metadata listen jsf manag bean entiti listen manag bean add type exist creat type annot manag bean 
VARSIG19	classorinterfacetypedetail type detail cid 
VARSIG1	javapackag destinationpackag destin 
VARSIG18	javapackag destinationpackag destin 
VARSIG0	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG17	element repositoryel repositori element 
MTHSIG4	haswebxml web xml 
VARSIG12	element dependencyel depend element 
MTHSIG5	getwebxmlfil web xml file 
VARSIG11	jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG6	copywebxml copi web xml 
VARSIG10	element configur 
MTHSIG7	updateconfigur updat configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG0	issetupavail setup 
VARSIG16	element repositoryel repositori element 
MTHSIG1	isscaffoldavail scaffold 
VARSIG15	jsfimplement jsf implement jsfimplement jsf implement 
PACKAGE	springframework roo addon jsf 
MTHSIG2	setup jsfimplement jsf implement jsfimplement jsf implement 
VARSIG14	element configur 
MTHSIG3	generateal gener javapackag destinationpackag destin 
VARSIG13	element dependencyel depend element 
MTHSIG8	cleanup element configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG9	getdepend depend xpathexpress path express element configur 
MTHSIG15	getimplementationxpath implement path jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG13	createmanagedbean creat manag bean javatyp type managedbean manag bean javatyp type entiti 
MTHSIG14	getimplementationxpath implement path list jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG11	updaterepositori updat repositori element configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG12	generatemanagedbean gener manag bean javapackag destinationpackag destin 
CLASSES	jsfoperationsimpl jsf oper impl 
METHODS	issetupavail setup isscaffoldavail scaffold setup generateal gener haswebxml web xml getwebxmlfil web xml file copywebxml copi web xml updateconfigur updat configur cleanup getdepend depend updatedepend updat depend updaterepositori updat repositori generatemanagedbean gener manag bean createmanagedbean creat manag bean getimplementationxpath implement path getimplementationxpath implement path 
VARSIG23	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG22	list jsfimplement jsf implement jsfimplement jsf implement 
VARSIG21	javatyp type entiti 
VARSIG20	javatyp type managedbean manag bean 
MTHSIG10	updatedepend updat depend element configur jsfimplement jsf implement jsfimplement jsf implement 
VARIABLES	jsfimplement jsf implement destinationpackag destin jsfimplement jsf implement configur jsfimplement jsf implement implement xpathexpress path express configur dependencyel depend element configur jsfimplement jsf implement dependencyel depend element dependencyel depend element configur jsfimplement jsf implement repositoryel repositori element repositoryel repositori element destinationpackag destin cid managedbean manag bean entiti jsfimplement jsf implement jsfimplement jsf implement primefac xpath filemanag file manag dependencyregistri depend registri metadataservic metadata servic projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic shell document templateinputstream templat input stream projectnam project configur jsfimplement jsf implement implementationxpath implement path depend depend jsfimplementationdepend jsf implement depend jsflibrarydepend jsf librari depend repositori jsfrepositori jsf repositori jsflibraryrepositori jsf librari repositori cid entiti path entitymetadata entiti metadata downstreamjsfmetadataid downstream jsf metadata managedbean manag bean attribut declaredbymetadataid declar metadata typedetailsbuild type detail builder builder 
