VARSIG7	requiredtyp requir type 
VARSIG6	list complet 
VARSIG9	optioncontext option context 
VARSIG8	existingdata exist data 
VARSIG3	requiredtyp requir type 
VARSIG2	 
VARSIG5	token 
VARSIG4	optioncontext option context 
COMMENTS	 
CLASSES	stringlistconvert list convert 
VARSIG1	optioncontext option context 
VARSIG0	requiredtyp requir type 
METHODS	support convertfromtext convert text getallpossiblevalu valu 
VARSIG10	methodtarget target target 
MTHSIG0	support requiredtyp requir type optioncontext option context 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
PACKAGE	springframework roo addon cloud foundri convert 
MTHSIG2	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARIABLES	requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context token complet requiredtyp requir type existingdata exist data optioncontext option context target token tokenlist token list 
