VARSIG6	save 
VARSIG3	placecontrol place control placecontrol place control 
VARSIG2	proxyeditview proxi edit view view 
VARSIG5	eventbu event bu eventbu event bu 
VARSIG4	acceptsonewidget accept widget displai 
COMMENTS	link abstractproxyeditact proxi edit activ creat instanc edit type proxi creat edit call user cancel save refin implement clear displai link start cancel save comit user cancel 
CLASSES	createandeditproxi creat edit proxi 
VARSIG1	requestcontext request context request 
VARSIG0	proxyclass proxi 
METHODS	createandeditproxi creat edit proxi start exit getproxi proxi 
MTHSIG0	createandeditproxi creat edit proxi proxyclass proxi requestcontext request context request proxyeditview proxi edit view view placecontrol place control placecontrol place control 
MTHSIG1	start acceptsonewidget accept widget displai eventbu event bu eventbu event bu 
PACKAGE	top level client scaffold place 
MTHSIG2	exit save 
MTHSIG3	getproxi proxi 
VARIABLES	proxyclass proxi request view placecontrol place control displai eventbu event bu save proxi placecontrol place control proxyclass proxi 
