COMMENTS	repres pars link roojson roo json annot 
CLASSES	jsonannotationvalu json annot valu 
VARSIG0	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
METHODS	jsonannotationvalu json annot valu gettojsonmethod json getfromjsonmethod json gettojsonarraymethod json arrai getfromjsonarraymethod json arrai getrootnam root isdeepseri deep serial 
MTHSIG4	getfromjsonarraymethod json arrai 
MTHSIG5	getrootnam root 
MTHSIG6	isdeepseri deep serial 
MTHSIG0	jsonannotationvalu json annot valu physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	gettojsonmethod json 
PACKAGE	springframework roo addon json 
MTHSIG2	getfromjsonmethod json 
MTHSIG3	gettojsonarraymethod json arrai 
VARIABLES	governorphysicaltypemetadata governor physic type metadata tojsonmethod json fromjsonmethod json fromjsonarraymethod json arrai tojsonarraymethod json arrai rootnam root deepseri deep serial 
