VARSIG7	memberdetail member detail memberdetail member detail 
VARSIG6	javatyp type javatyp type 
VARSIG9	javatyp type javatyp type 
VARSIG8	metadataidentificationstr metadata identif 
VARSIG3	javatyp type javatyp type 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	metadataidentificationstr metadata identif 
VARSIG4	memberdetail member detail memberdetail member detail 
COMMENTS	servic retriev metadata web scaffold add on 
VARSIG19	memberdetail member detail memberdetail member detail 
VARSIG1	memberdetail member detail memberdetail member detail 
VARSIG18	javatyp type javatyp type 
VARSIG0	javatyp type javatyp type 
VARSIG17	metadataidentificationstr metadata identif 
MTHSIG4	isrooidentifi roo identifi javatyp type javatyp type memberdetail member detail memberdetail member detail 
VARSIG12	javatyp type javatyp type 
MTHSIG5	isapplicationtyp applic type javatyp type javatyp type 
VARSIG11	metadataidentificationstr metadata identif 
MTHSIG6	getdatepattern pattern javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG10	memberdetail member detail memberdetail member detail 
MTHSIG7	getdynamicfindermethodsandfield dynam finder method field javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
MTHSIG0	getrelatedapplicationtypemetadata applic type metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG16	memberdetail member detail memberdetail member detail 
MTHSIG1	getdependentapplicationtypemetadata depend applic type metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG15	javatyp type javatyp type 
PACKAGE	springframework roo addon web mvc control detail 
MTHSIG2	getscaffoldeligiblefieldmetadata scaffold elig field metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG14	javatyp type javatyp type 
MTHSIG3	getjavatypepersistencemetadatadetail type persist metadata detail javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG13	memberdetail member detail memberdetail member detail 
MTHSIG8	getjavatypemetadatadetail type metadata detail javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
MTHSIG9	getmemberdetail member detail javatyp type javatyp type 
CLASSES	webmetadataservic web metadata servic 
METHODS	getrelatedapplicationtypemetadata applic type metadata getdependentapplicationtypemetadata depend applic type metadata getscaffoldeligiblefieldmetadata scaffold elig field metadata getjavatypepersistencemetadatadetail type persist metadata detail isrooidentifi roo identifi isapplicationtyp applic type getdatepattern pattern getdynamicfindermethodsandfield dynam finder method field getjavatypemetadatadetail type metadata detail getmemberdetail member detail 
VARSIG23	metadataidentificationstr metadata identif 
VARSIG22	memberdetail member detail memberdetail member detail 
VARSIG21	javatyp type javatyp type 
VARSIG20	metadataidentificationstr metadata identif 
VARSIG24	javatyp type javatyp type 
VARIABLES	javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail javatyp type javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type 
