VARSIG3	messag 
VARSIG2	level level 
VARSIG4	slot 
COMMENTS	easi subclass publish flash messag link shell creat depend link shell enabl subclass safe determin link shell develop mode subclass normal link shell flash level link flash level declar direct depend link shell link shell simpli publish flash messag link shell flash messag link shell conveni subclass uniqu slot flash messag deleg link shell isdevelopmentmod develop mode link shell simpli return shell develop mode signatur link shell flash level call link shell simpli discard flash messag level link shell flash level messag link shell flash level slot link shell flash level 
CLASSES	abstractflashingobject flash object 
VARSIG1	shell shell 
VARSIG0	shell shell 
METHODS	bindshel bind shell unbindshel unbind shell isdevelopmentmod develop mode flash 
MTHSIG0	bindshel bind shell shell shell 
MTHSIG1	unbindshel unbind shell shell shell 
PACKAGE	springframework roo shell osgi 
MTHSIG2	isdevelopmentmod develop mode 
MTHSIG3	flash level level messag slot 
VARIABLES	shell shell level messag slot slot mutex shell 
