VARSIG6	ioexcept except 
VARSIG3	integ majorjavavers major version 
VARSIG2	projectnam project 
VARSIG5	element 
VARSIG4	except 
COMMENTS	maven project oper detect major version run roo javax annot librari includ jaxb api hibern 
CLASSES	mavenoperationsimpl maven oper impl 
VARSIG1	javapackag toplevelpackag top level 
VARSIG0	componentcontext compon context context 
METHODS	activ iscreateprojectavail creat project getprojectroot project root createproject creat project 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	iscreateprojectavail creat project 
PACKAGE	springframework roo addon maven 
MTHSIG2	getprojectroot project root 
MTHSIG3	createproject creat project javapackag toplevelpackag top level projectnam project integ majorjavavers major version 
VARIABLES	context toplevelpackag top level projectnam project majorjavavers major version logger filemanag file manag pathresolv path resolv applicationcontextoper applic context oper ver packagenam lastindex pom rootel root element versionel version element pommutablefil pom mutabl file 
