VARSIG7	requir 
VARSIG6	paramnam 
VARSIG9	methodmetadata metadata 
VARSIG8	javasymbolnam symbol methodnam 
VARSIG3	metadataservic metadata servic metadataservic metadata servic 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
VARSIG4	solrwebsearchannotationvalu solr web search annot valu annotationvalu annot valu 
COMMENTS	metadata link roosolrwebsearch roo solr web searchabl creat represent desir output access paramet scan treat match authorit scan superclass caller expect scan current expect won check paramet 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getrequestparamannot request annot paramnam requir 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	methodexist exist javasymbolnam symbol methodnam 
VARSIG11	path path 
MTHSIG6	tostr 
VARSIG10	javatyp type javatyp type 
MTHSIG7	getmetadataidentifertyp metadata identif type 
MTHSIG0	solrwebsearchmetadata solr web search metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata metadataservic metadata servic metadataservic metadata servic solrwebsearchannotationvalu solr web search annot valu annotationvalu annot valu webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
MTHSIG1	getsearchmethod search 
PACKAGE	springframework roo addon solr 
MTHSIG2	getautocompletemethod autocomplet 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	getsolrmetadata solr metadata 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG8	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG9	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG11	isvalid valid metadataidentificationstr metadata identif 
CLASSES	solrwebsearchmetadata solr web search metadata 
METHODS	solrwebsearchmetadata solr web search metadata getsearchmethod search getautocompletemethod autocomplet getsolrmetadata solr metadata getrequestparamannot request annot methodexist exist tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG10	getpath path metadataidentificationstr metadata identif 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata metadataservic metadata servic annotationvalu annot valu webscaffoldmetadata web scaffold metadata paramnam requir methodnam javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type controllerpath control path metadataservic metadata servic webscaffoldmetadata web scaffold metadata annotationvalu annot valu targetobject target object methodnam paramtyp type paramnam name requestmappingattribut request map attribut requestmap request map annot solrquerysimplenam solr queri simpl bodybuild bodi builder methodbuild builder methodnam reqmapattribut req map attribut annot paramtyp type paramnam name solrquerysimplenam solr queri simpl facetfieldsimplenam facet field simpl queryresponsesimplenam queri respons simpl bodybuild bodi builder methodbuild builder targetobject target object solrmetadata solr metadata attributevalu attribut paramannot annot annotationbuild annot builder tsc 
