MTHSIG11	equal object obj 
MTHSIG12	tostr 
COMMENTS	repres join tabl valu associ multipl join tabl primari foreign point entiti tabl column foreign kei set foreign kei set 
CLASSES	jointabl join tabl 
VARSIG1	object obj 
VARSIG0	tabl tabl 
METHODS	jointabl join tabl gettabl tabl gettablenam tabl getowningsidetablenam own side tabl getowningsidet own side tabl getinversesidetablenam invers side tabl getinversesidet invers side tabl getlocalcolumnreferenceofowningsidet local column refer own side tabl getlocalcolumnreferenceofinversesidet local column refer invers side tabl isowningsidesameasinversesid own side invers side hashcod hash code equal tostr 
MTHSIG4	getowningsidet own side tabl 
MTHSIG5	getinversesidetablenam invers side tabl 
MTHSIG6	getinversesidet invers side tabl 
MTHSIG7	getlocalcolumnreferenceofowningsidet local column refer own side tabl 
MTHSIG0	jointabl join tabl tabl tabl 
MTHSIG1	gettabl tabl 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	gettablenam tabl 
MTHSIG3	getowningsidetablenam own side tabl 
MTHSIG10	hashcod hash code 
VARIABLES	tabl obj tabl foreignkei foreign kei foreignkei foreign kei iter prime result 
MTHSIG8	getlocalcolumnreferenceofinversesidet local column refer invers side tabl 
MTHSIG9	isowningsidesameasinversesid own side invers side 
