VARSIG6	except maybeofflin offlin 
VARSIG3	rate rate 
VARSIG2	bundlesymbolicnam bundl symbol bsn 
VARSIG5	malformedurlexcept malform url except shouldneverhappen happen 
VARSIG4	comment 
COMMENTS	implement link addonfeedbackoper add feedback oper figur http url ing order submit user user feedback fail earli allow url uaa restrict reason shouldn store user user feedback bsn shouldn escap regist feedback note record feedback bsn roobot roo bot client add assist simpl server side detect record feedback bsn receiv feedback bsn receiv feedback store custom json push feedback server don actual empti file deliv data uaa destin asap doesn matter feedback 
CLASSES	addonfeedbackoperationsimpl add feedback oper impl 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
METHODS	activ deactiv feedbackbundl feedback bundl 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon roobot client 
MTHSIG2	feedbackbundl feedback bundl bundlesymbolicnam bundl symbol bsn rate rate comment 
VARIABLES	context context bsn rate comment shouldneverhappen happen maybeofflin offlin registrationservic registr servic urlinputstreamservic url input stream servic bundlecontext bundl context log httpurl http url failuremessag failur messag customjson custom json 
